year, average_temp
1956, -25.96709090909091
1957, -25.848
1958, -26.97036363636364
1959, -26.593636363636364
1960, -27.201545454545453
1961, -25.861181818181816
1962, -27.071818181818184
1963, -26.547818181818183
1964, -26.88118181818182
1965, -26.51518181818182
1966, -26.13872727272727
1967, -26.071090909090913
1968, -26.294181818181823
1969, -26.566636363636363
1970, -25.80636363636364
1971, -25.87990909090909
1972, -25.765363636363634
1973, -25.91072727272728
1974, -25.833
1975, -26.151
1976, -26.606272727272728
1977, -26.233363636363634
1978, -26.144545454545455
1979, -26.524727272727276
1980, -25.207090909090912
1981, -25.46618181818182
1982, -26.69781818181818
1983, -26.091272727272727
1984, -25.51618181818182
1985, -26.379545454545458
1986, -25.859181818181817
1987, -25.920181818181817
1988, -25.307818181818185
1989, -25.749181818181818
1990, -25.836363636363632
1991, -24.737454545454547
1992, -25.78009090909091
1993, -26.46709090909091
1994, -26.356909090909095
1995, -25.7
1996, -24.878636363636364
1997, -26.103272727272728
1998, -25.937545454545454
1999, -26.301999999999996
2000, -25.415636363636363
2001, -25.783
2002, -25.214636363636366
2003, -25.728818181818184
2004, -25.971454545454545
2005, -25.52609090909091
2006, -25.796272727272726
2007, -24.801545454545455
2008, -25.399909090909087
2009, -24.843363636363637
2010, -25.79318181818182
2011, -25.083454545454543
2012, -25.755363636363636
2013, -25.37763636363636
2014, -25.631636363636368
2015, -26.474272727272727
2016, -25.561272727272726
2017, -25.57681818181818
2018, -24.991636363636363
2019, -24.855636363636364
