year, average_temp
1900, 21.271636363636365
1901, 21.099818181818183
1902, 21.08036363636364
1903, 20.654181818181815
1904, 20.597545454545454
1905, 20.62
1906, 21.287727272727274
1907, 20.868272727272725
1908, 20.315727272727276
1909, 20.562818181818184
1910, 21.05127272727273
1911, 20.863272727272726
1912, 21.303545454545457
1913, 20.694909090909093
1914, 21.750272727272726
1915, 21.66809090909091
1916, 20.88172727272727
1917, 20.204454545454546
1918, 20.883
1919, 21.323545454545453
1920, 20.828636363636363
1921, 21.219545454545454
1922, 21.00281818181818
1923, 21.100363636363635
1924, 20.759
1925, 20.681
1926, 21.248818181818187
1927, 20.857181818181814
1928, 21.52945454545455
1929, 20.541909090909094
1930, 21.130090909090914
1931, 20.706454545454545
1932, 20.777
1933, 20.842999999999996
1934, 20.962727272727275
1935, 20.902
1936, 21.17190909090909
1937, 21.08336363636364
1938, 21.633
1939, 20.657363636363637
1940, 21.139909090909093
1941, 20.933909090909086
1942, 21.29472727272727
1943, 20.746727272727274
1944, 20.925636363636364
1945, 21.039454545454547
1946, 20.629818181818184
1947, 20.884181818181823
1948, 20.958727272727273
1949, 20.421545454545456
1950, 20.74381818181818
1951, 21.052454545454548
1952, 20.85590909090909
1953, 20.997090909090907
1954, 21.00972727272727
1955, 20.987636363636366
1956, 20.429909090909092
1957, 21.33727272727273
1958, 21.47681818181818
1959, 21.571727272727273
1960, 20.566181818181818
1961, 21.365909090909092
1962, 21.238272727272726
1963, 21.194272727272725
1964, 21.104363636363633
1965, 21.53354545454545
1966, 20.769454545454547
1967, 21.06290909090909
1968, 20.865727272727273
1969, 21.199727272727273
1970, 21.188727272727274
1971, 21.020909090909093
1972, 21.526090909090904
1973, 21.825181818181818
1974, 20.73
1975, 21.19190909090909
1976, 20.703000000000003
1977, 21.314454545454545
1978, 21.013181818181817
1979, 21.615181818181817
1980, 22.05245454545454
1981, 21.566454545454548
1982, 21.29081818181818
1983, 21.728545454545454
1984, 21.069000000000003
1985, 21.43536363636364
1986, 21.554545454545455
1987, 21.526545454545456
1988, 22.036727272727273
1989, 21.331999999999997
1990, 21.774363636363635
1991, 21.956727272727278
1992, 21.426363636363636
1993, 21.619999999999997
1994, 21.46109090909091
1995, 21.419
1996, 21.853545454545454
1997, 21.64890909090909
1998, 22.15890909090909
1999, 21.50090909090909
2000, 21.30409090909091
2001, 21.20536363636364
2002, 22.061545454545453
2003, 21.95118181818182
2004, 21.787090909090907
2005, 22.436818181818182
2006, 21.714909090909092
2007, 22.048454545454543
2008, 21.64518181818182
2009, 22.229
2010, 21.543727272727274
2011, 21.18618181818182
2012, 21.51281818181818
2013, 22.473636363636363
2014, 22.231545454545454
2015, 22.188545454545455
2016, 22.175454545454546
2017, 22.197818181818185
2018, 22.21709090909091
2019, 22.507454545454546
