year, average_temp
1900, 25.056545454545457
1901, 24.965363636363637
1902, 24.894545454545455
1903, 24.65881818181818
1904, 24.075363636363637
1905, 24.861909090909087
1906, 24.621
1907, 24.416545454545457
1908, 24.60681818181818
1909, 24.497181818181822
1910, 24.502545454545455
1911, 24.46918181818182
1912, 24.607454545454548
1913, 24.80163636363636
1914, 25.091272727272724
1915, 25.267181818181818
1916, 24.532363636363637
1917, 23.894181818181817
1918, 24.39309090909091
1919, 24.869909090909093
1920, 24.361
1921, 24.390727272727272
1922, 24.409727272727274
1923, 24.347545454545454
1924, 24.363545454545456
1925, 24.53727272727273
1926, 24.86081818181818
1927, 24.609454545454543
1928, 24.846636363636367
1929, 24.503999999999998
1930, 24.74472727272727
1931, 24.607727272727274
1932, 24.89909090909091
1933, 24.47027272727273
1934, 24.51981818181818
1935, 24.64381818181818
1936, 24.86918181818182
1937, 24.81518181818182
1938, 24.803727272727272
1939, 24.811818181818182
1940, 25.068454545454543
1941, 25.083545454545458
1942, 24.727363636363634
1943, 24.54263636363637
1944, 24.859363636363636
1945, 24.640454545454546
1946, 24.90990909090909
1947, 24.649727272727272
1948, 24.79509090909091
1949, 24.672090909090908
1950, 24.699545454545458
1951, 24.71636363636364
1952, 24.790454545454544
1953, 24.954363636363638
1954, 24.863727272727274
1955, 24.71872727272727
1956, 24.445999999999998
1957, 24.849727272727268
1958, 25.225181818181817
1959, 25.09854545454546
1960, 24.726454545454548
1961, 25.156454545454544
1962, 24.78272727272728
1963, 25.13681818181818
1964, 24.650909090909092
1965, 24.993181818181817
1966, 24.960545454545457
1967, 24.95327272727273
1968, 24.507727272727276
1969, 25.300818181818187
1970, 25.059181818181816
1971, 24.616454545454545
1972, 25.10690909090909
1973, 25.26036363636364
1974, 24.679636363636362
1975, 24.837272727272726
1976, 24.790181818181818
1977, 25.217454545454544
1978, 24.996000000000002
1979, 24.993
1980, 25.238454545454545
1981, 25.079181818181816
1982, 25.280272727272727
1983, 25.410818181818183
1984, 25.175545454545457
1985, 24.98227272727273
1986, 25.131181818181815
1987, 25.613727272727267
1988, 25.20672727272727
1989, 24.97563636363636
1990, 25.36009090909091
1991, 25.32781818181818
1992, 25.244727272727275
1993, 25.39381818181818
1994, 25.508454545454544
1995, 25.615363636363636
1996, 25.40318181818182
1997, 25.672090909090908
1998, 26.036181818181817
1999, 25.355727272727272
2000, 25.282545454545453
2001, 25.56227272727273
2002, 25.937454545454543
2003, 25.725909090909088
2004, 25.54627272727273
2005, 25.850363636363635
2006, 25.62218181818182
2007, 25.700454545454548
2008, 25.50163636363636
2009, 25.77336363636364
2010, 25.957363636363635
2011, 25.61209090909091
2012, 25.923272727272728
2013, 25.693454545454543
2014, 25.867272727272727
2015, 26.35390909090909
2016, 26.233454545454546
2017, 26.077363636363636
2018, 25.779636363636364
2019, 26.239181818181812
