year, average_temp
1900, 8.020272727272726
1901, 7.77590909090909
1902, 7.973545454545453
1903, 7.568
1904, 7.672363636363638
1905, 7.111818181818181
1906, 7.722363636363635
1907, 7.622272727272728
1908, 7.797727272727271
1909, 7.9089090909090904
1910, 7.513090909090909
1911, 7.700090909090909
1912, 7.557999999999999
1913, 7.578181818181817
1914, 8.217909090909092
1915, 7.986454545454546
1916, 7.782272727272726
1917, 7.7126363636363635
1918, 7.694909090909091
1919, 8.257636363636363
1920, 7.998000000000002
1921, 7.9541818181818185
1922, 8.202272727272728
1923, 8.014
1924, 8.058181818181819
1925, 7.923454545454547
1926, 8.12172727272727
1927, 8.00309090909091
1928, 8.125818181818182
1929, 7.735545454545454
1930, 8.062272727272727
1931, 7.8972727272727266
1932, 8.022909090909092
1933, 8.177454545454545
1934, 7.759999999999999
1935, 7.994727272727273
1936, 7.561909090909091
1937, 7.927545454545455
1938, 8.278181818181817
1939, 8.32690909090909
1940, 8.152818181818182
1941, 8.572090909090909
1942, 8.366545454545456
1943, 8.360545454545456
1944, 7.809909090909091
1945, 8.272545454545455
1946, 8.51409090909091
1947, 8.027454545454544
1948, 8.324181818181819
1949, 8.111090909090908
1950, 7.627363636363635
1951, 8.331181818181816
1952, 7.965363636363636
1953, 8.473636363636365
1954, 7.783181818181818
1955, 8.305727272727273
1956, 7.818181818181817
1957, 7.7138181818181835
1958, 8.448545454545455
1959, 8.444999999999999
1960, 8.305
1961, 8.424818181818182
1962, 8.117636363636363
1963, 8.498181818181818
1964, 8.081727272727274
1965, 8.027727272727272
1966, 8.245090909090909
1967, 7.782636363636362
1968, 8.063363636363636
1969, 7.863090909090909
1970, 7.926636363636364
1971, 8.174454545454545
1972, 8.021363636363635
1973, 8.498545454545456
1974, 7.956545454545454
1975, 8.377272727272727
1976, 7.715545454545454
1977, 8.394
1978, 8.503090909090908
1979, 8.326090909090912
1980, 8.294272727272727
1981, 8.262545454545453
1982, 8.334181818181818
1983, 8.239727272727274
1984, 7.887363636363634
1985, 8.080545454545453
1986, 8.104818181818183
1987, 8.461818181818181
1988, 8.436454545454547
1989, 8.466545454545454
1990, 8.887
1991, 8.492454545454546
1992, 8.195363636363634
1993, 8.377454545454546
1994, 8.881272727272727
1995, 8.659181818181821
1996, 8.370363636363635
1997, 8.717363636363636
1998, 9.608545454545455
1999, 9.178636363636365
2000, 8.669454545454546
2001, 9.047363636363634
2002, 9.101545454545455
2003, 8.927000000000001
2004, 9.181454545454546
2005, 8.936181818181819
2006, 9.43681818181818
2007, 9.617727272727272
2008, 9.215999999999998
2009, 9.267181818181818
2010, 8.993636363636362
2011, 9.105727272727272
2012, 8.727090909090908
2013, 9.353727272727273
2014, 9.050636363636364
2015, 9.423363636363636
2016, 9.657
2017, 9.504090909090909
2018, 9.420727272727271
2019, 9.532818181818183
