year, average_temp
1900, 23.769181818181817
1901, 24.14309090909091
1902, 23.666818181818183
1903, 22.986
1904, 22.840909090909093
1905, 23.38536363636364
1906, 23.659818181818185
1907, 22.718454545454545
1908, 22.857272727272733
1909, 23.885454545454547
1910, 23.003
1911, 23.067636363636364
1912, 23.027454545454546
1913, 22.67354545454545
1914, 23.33681818181818
1915, 23.92681818181818
1916, 24.14236363636364
1917, 23.19263636363636
1918, 23.685090909090906
1919, 23.59254545454545
1920, 23.00490909090909
1921, 23.313454545454547
1922, 23.645999999999997
1923, 23.47418181818182
1924, 23.798545454545454
1925, 23.836272727272725
1926, 23.437636363636365
1927, 23.877636363636366
1928, 23.962363636363634
1929, 23.543909090909093
1930, 23.855000000000004
1931, 23.810363636363633
1932, 23.53972727272727
1933, 23.511818181818178
1934, 23.712454545454545
1935, 23.62545454545455
1936, 24.146454545454546
1937, 24.115545454545455
1938, 23.272727272727273
1939, 24.131636363636364
1940, 23.83309090909091
1941, 23.97163636363636
1942, 23.857454545454544
1943, 23.387272727272727
1944, 23.63027272727273
1945, 23.047454545454542
1946, 23.819545454545455
1947, 24.217363636363636
1948, 22.815272727272728
1949, 22.72218181818182
1950, 23.581818181818182
1951, 23.852999999999998
1952, 24.062636363636365
1953, 23.51390909090909
1954, 23.63018181818182
1955, 24.206818181818182
1956, 23.826909090909087
1957, 24.020272727272726
1958, 24.20190909090909
1959, 23.22709090909091
1960, 24.49890909090909
1961, 22.975363636363635
1962, 24.385272727272728
1963, 24.40890909090909
1964, 23.35936363636364
1965, 23.473818181818178
1966, 24.224545454545456
1967, 23.12354545454545
1968, 23.618727272727273
1969, 24.37590909090909
1970, 23.367727272727272
1971, 23.27854545454546
1972, 23.655181818181816
1973, 23.560636363636366
1974, 23.64454545454545
1975, 23.457636363636368
1976, 23.743636363636366
1977, 23.529090909090908
1978, 23.817454545454545
1979, 24.394727272727273
1980, 23.93590909090909
1981, 23.841
1982, 23.170545454545458
1983, 23.07227272727273
1984, 23.668636363636367
1985, 23.85936363636364
1986, 23.665454545454544
1987, 23.615454545454543
1988, 24.012090909090908
1989, 23.82809090909091
1990, 23.908636363636365
1991, 23.889
1992, 23.375090909090908
1993, 24.18672727272727
1994, 23.95490909090909
1995, 24.055545454545452
1996, 24.252454545454544
1997, 23.57536363636364
1998, 24.520545454545452
1999, 24.571
2000, 23.68227272727273
2001, 24.30818181818182
2002, 24.66554545454545
2003, 24.244545454545452
2004, 24.365545454545455
2005, 24.349636363636364
2006, 24.242727272727272
2007, 24.43581818181818
2008, 24.823272727272727
2009, 24.509636363636364
2010, 25.931636363636365
2011, 24.09490909090909
2012, 24.93090909090909
2013, 24.697636363636363
2014, 25.067545454545453
2015, 24.963636363636365
2016, 25.409363636363636
2017, 24.664181818181817
2018, 25.702636363636362
2019, 24.84272727272727
