year, average_temp
1901, 8.556636363636363
1902, 7.48018181818182
1903, 8.968363636363637
1904, 9.092363636363636
1905, 8.741727272727273
1906, 8.866090909090909
1907, 8.464454545454545
1908, 8.297454545454544
1909, 8.069
1910, 8.964545454545457
1911, 9.843727272727271
1912, 8.593272727272728
1913, 9.209818181818184
1914, 9.456
1915, 8.462636363636365
1916, 8.75418181818182
1917, 8.294363636363636
1918, 9.111181818181818
1919, 7.779545454545454
1920, 9.123090909090909
1921, 9.379181818181818
1922, 7.983090909090909
1923, 8.491181818181818
1924, 8.373727272727272
1925, 8.729909090909091
1926, 9.438454545454546
1927, 8.537999999999998
1928, 8.881545454545455
1929, 8.395727272727271
1930, 9.248999999999999
1931, 8.152363636363637
1932, 8.831272727272728
1933, 8.508636363636363
1934, 10.275999999999998
1935, 9.143545454545453
1936, 8.817363636363636
1937, 9.383272727272727
1938, 9.210090909090908
1939, 8.78109090909091
1940, 7.885090909090908
1941, 8.159363636363638
1942, 8.534272727272729
1943, 9.67509090909091
1944, 8.653999999999998
1945, 9.96509090909091
1946, 9.17418181818182
1947, 9.54890909090909
1948, 9.519727272727271
1949, 9.803454545454546
1950, 9.396727272727272
1951, 9.354454545454546
1952, 8.555909090909093
1953, 9.821545454545454
1954, 8.644363636363636
1955, 8.348272727272727
1956, 7.430272727272727
1957, 9.301636363636364
1958, 8.974181818181819
1959, 9.855727272727274
1960, 9.171454545454546
1961, 9.889454545454544
1962, 7.66590909090909
1963, 8.40190909090909
1964, 9.052545454545454
1965, 8.086636363636364
1966, 9.549818181818182
1967, 9.649181818181816
1968, 9.025818181818183
1969, 8.462454545454545
1970, 8.649454545454546
1971, 9.303999999999998
1972, 8.818454545454545
1973, 8.986
1974, 9.342727272727274
1975, 9.361090909090912
1976, 9.075909090909093
1977, 9.42209090909091
1978, 8.436909090909092
1979, 8.866909090909092
1980, 8.558000000000002
1981, 9.061545454545456
1982, 9.935818181818181
1983, 9.505727272727272
1984, 8.647636363636364
1985, 8.663818181818181
1986, 8.666545454545455
1987, 8.68909090909091
1988, 9.566818181818181
1989, 10.133272727272727
1990, 10.135
1991, 8.952
1992, 10.104
1993, 9.019454545454545
1994, 10.304454545454547
1995, 9.688727272727272
1996, 8.14
1997, 9.964181818181817
1998, 9.669272727272727
1999, 10.117363636363637
2000, 10.702181818181819
2001, 9.736818181818183
2002, 10.304181818181817
2003, 10.224636363636364
2004, 9.730454545454545
2005, 9.588636363636367
2006, 10.62318181818182
2007, 10.294454545454546
2008, 9.998363636363635
2009, 10.178818181818182
2010, 8.839
2011, 10.47827272727273
2012, 9.720272727272729
2013, 9.476272727272725
2014, 11.110999999999999
2015, 10.62809090909091
2016, 10.349636363636364
2017, 10.638272727272726
2018, 11.052818181818182
2019, 11.13
