year, average_temp
1900, 25.10363636363636
1901, 24.906272727272725
1902, 25.011363636363637
1903, 24.50736363636364
1904, 24.505363636363636
1905, 24.37963636363636
1906, 24.72536363636364
1907, 24.409363636363636
1908, 24.550363636363635
1909, 24.402909090909095
1910, 24.28509090909091
1911, 24.58263636363636
1912, 24.732727272727274
1913, 24.46209090909091
1914, 24.51727272727273
1915, 25.044090909090905
1916, 24.555636363636363
1917, 23.773909090909086
1918, 24.59645454545455
1919, 24.55518181818182
1920, 24.667454545454543
1921, 24.919636363636364
1922, 24.637363636363638
1923, 24.687181818181816
1924, 24.851727272727274
1925, 24.47909090909091
1926, 24.52936363636364
1927, 24.436090909090908
1928, 24.81163636363636
1929, 24.653090909090906
1930, 24.53081818181818
1931, 24.88027272727273
1932, 24.711181818181817
1933, 24.314636363636364
1934, 24.525454545454544
1935, 24.56509090909091
1936, 24.59027272727273
1937, 24.478545454545454
1938, 24.546
1939, 24.642636363636363
1940, 24.60118181818182
1941, 25.413
1942, 24.937818181818184
1943, 24.475454545454543
1944, 24.53618181818182
1945, 24.380999999999997
1946, 24.849181818181815
1947, 24.991727272727275
1948, 24.860545454545456
1949, 24.656272727272725
1950, 24.269545454545455
1951, 24.967454545454547
1952, 25.00572727272727
1953, 25.278363636363636
1954, 24.86518181818182
1955, 24.564
1956, 24.511727272727274
1957, 24.576909090909094
1958, 25.084090909090907
1959, 24.899818181818183
1960, 24.957818181818183
1961, 24.34209090909091
1962, 24.533272727272728
1963, 24.85127272727273
1964, 24.811090909090908
1965, 24.772181818181817
1966, 25.135454545454543
1967, 24.757272727272724
1968, 24.666454545454545
1969, 25.304636363636366
1970, 24.761727272727274
1971, 24.285454545454545
1972, 24.956818181818182
1973, 25.016636363636362
1974, 24.84072727272727
1975, 24.57481818181818
1976, 24.914454545454543
1977, 24.964363636363636
1978, 24.662545454545455
1979, 25.151727272727275
1980, 25.239818181818183
1981, 24.84
1982, 24.769454545454543
1983, 24.587818181818182
1984, 24.81845454545455
1985, 25.088818181818183
1986, 24.949636363636362
1987, 25.380999999999997
1988, 25.272000000000002
1989, 24.785090909090908
1990, 24.624363636363636
1991, 24.941727272727274
1992, 24.861727272727276
1993, 24.996818181818185
1994, 24.809545454545454
1995, 25.158999999999995
1996, 25.02536363636364
1997, 24.733090909090908
1998, 25.418999999999997
1999, 25.343
2000, 25.11818181818182
2001, 25.286090909090905
2002, 25.638
2003, 25.37363636363636
2004, 25.38054545454545
2005, 25.24909090909091
2006, 25.509909090909087
2007, 25.344363636363635
2008, 25.15590909090909
2009, 25.81990909090909
2010, 25.869909090909093
2011, 25.253727272727275
2012, 25.345909090909092
2013, 25.18109090909091
2014, 25.358272727272727
2015, 25.65990909090909
2016, 25.889090909090907
2017, 25.750636363636364
2018, 25.631272727272727
2019, 25.618636363636362
