year, average_temp
1900, 20.67781818181818
1901, 21.30945454545455
1902, 20.89663636363636
1903, 19.991090909090907
1904, 19.90509090909091
1905, 20.052636363636363
1906, 20.347727272727273
1907, 19.553636363636365
1908, 19.682727272727277
1909, 20.84463636363636
1910, 19.797909090909094
1911, 19.665454545454544
1912, 20.14318181818182
1913, 19.480545454545453
1914, 19.71318181818182
1915, 20.395272727272726
1916, 20.791272727272723
1917, 20.276636363636364
1918, 20.10063636363636
1919, 20.302727272727275
1920, 19.798636363636366
1921, 19.671909090909093
1922, 20.647272727272732
1923, 20.669727272727275
1924, 20.55272727272727
1925, 20.70281818181818
1926, 20.36527272727273
1927, 20.757272727272728
1928, 20.886363636363637
1929, 20.499181818181818
1930, 20.96409090909091
1931, 20.515000000000004
1932, 20.527909090909088
1933, 20.022454545454544
1934, 20.68827272727273
1935, 21.047
1936, 20.91709090909091
1937, 21.374909090909096
1938, 20.17627272727273
1939, 20.922818181818183
1940, 20.716545454545457
1941, 20.897636363636366
1942, 20.790909090909093
1943, 20.321272727272728
1944, 20.489545454545457
1945, 19.933727272727275
1946, 20.72627272727273
1947, 21.36645454545455
1948, 19.659090909090907
1949, 19.68463636363636
1950, 20.67127272727273
1951, 20.992545454545454
1952, 21.108363636363638
1953, 20.035272727272726
1954, 20.854181818181818
1955, 21.256727272727275
1956, 20.553727272727272
1957, 20.79218181818182
1958, 21.050363636363638
1959, 19.862454545454543
1960, 21.491818181818182
1961, 20.29672727272727
1962, 21.461454545454547
1963, 21.19281818181818
1964, 20.175545454545453
1965, 20.701636363636364
1966, 21.210454545454546
1967, 19.719090909090912
1968, 20.64709090909091
1969, 20.970909090909092
1970, 20.532454545454545
1971, 20.000272727272726
1972, 20.141272727272728
1973, 20.441363636363636
1974, 20.439545454545453
1975, 20.268909090909087
1976, 20.173909090909095
1977, 20.629363636363635
1978, 20.72627272727273
1979, 21.194454545454544
1980, 20.660454545454545
1981, 20.65390909090909
1982, 19.774727272727272
1983, 19.917363636363635
1984, 20.200363636363637
1985, 20.62727272727273
1986, 20.51690909090909
1987, 20.45918181818182
1988, 20.626363636363635
1989, 20.70318181818182
1990, 20.827090909090906
1991, 20.68627272727273
1992, 19.758272727272725
1993, 20.751636363636365
1994, 21.019
1995, 20.610545454545452
1996, 21.185181818181817
1997, 20.284454545454548
1998, 21.68136363636364
1999, 21.450545454545455
2000, 20.903909090909092
2001, 21.51736363636364
2002, 21.431545454545457
2003, 20.993727272727273
2004, 21.04518181818182
2005, 21.00572727272727
2006, 20.964818181818185
2007, 21.358454545454546
2008, 21.790090909090907
2009, 21.421181818181818
2010, 22.898818181818182
2011, 20.79118181818182
2012, 21.830181818181817
2013, 21.51809090909091
2014, 21.692727272727275
2015, 21.784636363636363
2016, 22.227363636363638
2017, 21.809818181818184
2018, 22.483636363636364
2019, 21.794999999999998
