year, average_temp
1901, 8.728363636363637
1902, 8.206454545454545
1903, 8.632636363636363
1904, 8.543272727272727
1905, 8.690636363636365
1906, 8.757636363636363
1907, 8.399545454545454
1908, 9.007818181818182
1909, 8.198363636363638
1910, 8.78090909090909
1911, 9.458272727272728
1912, 8.805181818181818
1913, 9.158818181818182
1914, 9.388818181818182
1915, 8.41790909090909
1916, 8.444636363636365
1917, 8.357545454545452
1918, 9.004181818181818
1919, 8.100272727272728
1920, 9.022727272727272
1921, 9.640454545454546
1922, 8.30009090909091
1923, 8.369363636363635
1924, 8.727818181818181
1925, 8.561545454545453
1926, 9.151181818181819
1927, 8.583181818181819
1928, 8.87
1929, 8.764000000000001
1930, 8.780727272727274
1931, 8.62009090909091
1932, 8.835090909090908
1933, 9.603909090909092
1934, 9.495818181818183
1935, 9.071272727272728
1936, 8.986636363636364
1937, 8.951727272727272
1938, 9.48309090909091
1939, 9.229363636363635
1940, 9.041363636363636
1941, 8.862636363636364
1942, 8.841181818181818
1943, 9.555454545454545
1944, 8.938545454545453
1945, 10.139454545454546
1946, 9.088181818181818
1947, 9.144363636363636
1948, 9.396454545454546
1949, 9.89309090909091
1950, 8.890636363636364
1951, 8.781909090909092
1952, 8.790363636363637
1953, 9.578181818181818
1954, 8.83990909090909
1955, 9.005727272727272
1956, 8.641727272727273
1957, 9.470363636363636
1958, 8.992636363636363
1959, 10.106272727272726
1960, 9.312363636363639
1961, 9.450454545454543
1962, 8.307
1963, 8.520363636363637
1964, 9.044
1965, 8.54318181818182
1966, 9.015363636363638
1967, 9.183727272727271
1968, 8.895727272727273
1969, 8.729363636363637
1970, 9.091545454545454
1971, 9.411272727272726
1972, 8.850818181818182
1973, 9.121272727272727
1974, 8.995181818181818
1975, 9.334363636363637
1976, 9.383363636363637
1977, 9.12618181818182
1978, 9.008090909090908
1979, 8.648272727272728
1980, 9.129181818181818
1981, 8.793636363636363
1982, 9.495909090909091
1983, 9.34481818181818
1984, 9.378636363636362
1985, 8.75590909090909
1986, 8.398181818181817
1987, 8.92390909090909
1988, 9.346363636363638
1989, 9.814000000000002
1990, 9.958181818181819
1991, 9.275636363636364
1992, 9.414272727272726
1993, 8.942727272727272
1994, 9.50609090909091
1995, 9.846454545454547
1996, 8.876272727272726
1997, 10.225636363636365
1998, 9.841363636363637
1999, 10.020727272727271
2000, 9.73709090909091
2001, 9.59518181818182
2002, 9.979727272727272
2003, 10.159363636363636
2004, 10.094999999999999
2005, 9.93509090909091
2006, 10.39972727272727
2007, 10.047545454545453
2008, 9.610636363636363
2009, 9.893454545454546
2010, 8.933272727272728
2011, 10.424363636363635
2012, 9.376636363636363
2013, 9.494
2014, 10.539272727272728
2015, 9.925727272727274
2016, 9.932818181818181
2017, 10.282181818181817
2018, 10.187727272727274
2019, 10.151
