year, average_temp
1901, 9.581090909090909
1902, 9.573636363636364
1903, 9.075090909090907
1904, 9.452545454545454
1905, 9.59309090909091
1906, 9.67590909090909
1907, 9.42218181818182
1908, 9.787454545454544
1909, 9.292363636363637
1910, 9.927636363636362
1911, 9.800090909090908
1912, 9.384272727272727
1913, 9.705545454545454
1914, 9.819727272727272
1915, 9.771363636363636
1916, 9.307727272727274
1917, 8.841909090909091
1918, 9.883090909090908
1919, 9.608818181818183
1920, 9.337636363636362
1921, 10.669818181818181
1922, 9.974727272727273
1923, 9.712818181818182
1924, 9.26309090909091
1925, 10.296545454545456
1926, 10.18081818181818
1927, 9.744636363636364
1928, 9.871272727272727
1929, 9.607545454545454
1930, 10.043454545454544
1931, 10.569090909090908
1932, 9.618363636363638
1933, 10.056727272727274
1934, 10.920636363636364
1935, 9.781090909090908
1936, 10.133363636363637
1937, 9.941454545454546
1938, 10.606363636363637
1939, 10.335545454545455
1940, 10.448
1941, 10.347181818181816
1942, 9.953545454545454
1943, 10.228636363636365
1944, 9.924454545454545
1945, 9.66690909090909
1946, 10.238545454545456
1947, 9.974454545454545
1948, 9.654454545454545
1949, 10.177818181818182
1950, 9.703727272727273
1951, 9.578272727272726
1952, 10.091272727272727
1953, 10.517272727272726
1954, 10.598727272727272
1955, 9.598272727272729
1956, 9.846272727272726
1957, 10.346272727272728
1958, 10.043000000000001
1959, 10.023363636363637
1960, 9.832545454545455
1961, 9.719
1962, 10.215454545454547
1963, 10.410363636363634
1964, 9.558818181818182
1965, 9.724545454545455
1966, 9.781181818181818
1967, 9.919454545454546
1968, 9.707454545454548
1969, 9.986
1970, 9.97909090909091
1971, 9.683181818181819
1972, 9.586454545454547
1973, 10.163181818181819
1974, 9.957818181818183
1975, 9.498545454545456
1976, 9.800181818181818
1977, 10.625272727272726
1978, 9.974818181818181
1979, 9.956909090909091
1980, 10.295181818181819
1981, 10.706636363636365
1982, 9.847090909090909
1983, 9.957454545454546
1984, 9.993818181818181
1985, 9.735363636363637
1986, 10.54009090909091
1987, 10.728636363636364
1988, 10.501363636363637
1989, 9.951818181818181
1990, 10.480727272727275
1991, 10.703
1992, 10.033999999999999
1993, 9.980454545454545
1994, 10.452909090909092
1995, 10.37490909090909
1996, 9.940363636363635
1997, 10.370272727272727
1998, 11.217454545454546
1999, 10.68290909090909
2000, 10.73918181818182
2001, 10.860272727272726
2002, 10.822636363636363
2003, 10.819363636363637
2004, 10.907
2005, 10.97009090909091
2006, 10.917636363636364
2007, 11.015454545454546
2008, 10.127363636363636
2009, 10.299454545454548
2010, 10.698636363636364
2011, 10.738909090909091
2012, 11.414
2013, 10.296090909090909
2014, 10.58290909090909
2015, 11.446545454545454
2016, 7.99825
