year,month,average_month_temperature
1956,01,-11.342
1956,02,-16.628
1956,03,-24.355
1956,04,-28.810
1956,05,-31.041
1956,06,-31.425
1956,07,-32.441
1956,08,-35.141
1956,09,-29.945
1956,10,-27.224
1956,11,-17.985
1956,12,-10.643
1957,01,-11.517
1957,02,-16.928
1957,03,-24.497
1957,04,-27.882
1957,05,-30.318
1957,06,-31.428
1957,07,-34.846
1957,08,-32.673
1957,09,-30.634
1957,10,-25.656
1957,11,-17.927
1957,12,-11.539
1958,01,-11.805
1958,02,-17.180
1958,03,-24.100
1958,04,-27.756
1958,05,-30.217
1958,06,-34.829
1958,07,-33.700
1958,08,-35.342
1958,09,-34.201
1958,10,-27.231
1958,11,-18.464
1958,12,-13.654
1959,01,-12.628
1959,02,-17.954
1959,03,-23.561
1959,04,-27.728
1959,05,-30.100
1959,06,-32.125
1959,07,-33.292
1959,08,-33.927
1959,09,-34.502
1959,10,-27.190
1959,11,-20.051
1959,12,-12.100
1960,01,-13.067
1960,02,-18.022
1960,03,-27.024
1960,04,-29.912
1960,05,-31.982
1960,06,-33.439
1960,07,-35.047
1960,08,-32.953
1960,09,-32.044
1960,10,-26.297
1960,11,-19.303
1960,12,-13.194
1961,01,-12.145
1961,02,-16.684
1961,03,-24.340
1961,04,-28.270
1961,05,-28.921
1961,06,-31.395
1961,07,-32.644
1961,08,-32.959
1961,09,-30.173
1961,10,-26.849
1961,11,-18.608
1961,12,-13.630
1962,01,-13.173
1962,02,-17.460
1962,03,-25.108
1962,04,-29.626
1962,05,-32.533
1962,06,-31.337
1962,07,-34.830
1962,08,-34.140
1962,09,-32.409
1962,10,-27.513
1962,11,-19.415
1962,12,-13.419
1963,01,-11.985
1963,02,-18.258
1963,03,-25.544
1963,04,-30.562
1963,05,-32.090
1963,06,-31.062
1963,07,-32.626
1963,08,-31.090
1963,09,-29.862
1963,10,-28.559
1963,11,-19.244
1963,12,-13.129
1964,01,-12.435
1964,02,-18.001
1964,03,-24.874
1964,04,-31.064
1964,05,-33.692
1964,06,-30.133
1964,07,-31.972
1964,08,-34.010
1964,09,-33.715
1964,10,-27.915
1964,11,-17.984
1964,12,-12.333
1965,01,-11.563
1965,02,-16.422
1965,03,-24.780
