year,month,average_month_temperature
1900,01,27.585
1900,02,29.137
1900,03,25.338
1900,04,21.304
1900,05,17.248
1900,06,15.554
1900,07,12.998
1900,08,15.874
1900,09,18.573
1900,10,23.249
1900,11,26.658
1900,12,28.055
1901,01,28.031
1901,02,27.379
1901,03,25.047
1901,04,21.507
1901,05,18.290
1901,06,14.138
1901,07,12.868
1901,08,15.352
1901,09,20.020
1901,10,22.177
1901,11,26.880
1901,12,28.440
1902,01,27.974
1902,02,27.473
1902,03,25.710
1902,04,22.184
1902,05,17.972
1902,06,14.922
1902,07,14.049
1902,08,15.464
1902,09,19.228
1902,10,22.633
1902,11,25.700
1902,12,26.549
1903,01,27.982
1903,02,27.351
1903,03,25.864
1903,04,21.799
1903,05,17.471
1903,06,14.417
1903,07,13.428
1903,08,15.868
1903,09,18.778
1903,10,21.968
1903,11,24.724
1903,12,25.528
1904,01,26.442
1904,02,26.084
1904,03,24.410
1904,04,21.701
1904,05,17.798
1904,06,13.810
1904,07,13.669
1904,08,15.456
1904,09,18.671
1904,10,21.804
1904,11,25.660
1904,12,27.510
1905,01,27.964
1905,02,26.636
1905,03,25.688
1905,04,22.240
1905,05,18.551
1905,06,14.492
1905,07,13.498
1905,08,14.909
1905,09,17.337
1905,10,20.451
1905,11,25.173
1905,12,27.845
1906,01,29.299
1906,02,28.602
1906,03,24.423
1906,04,22.940
1906,05,18.940
1906,06,16.396
1906,07,14.930
1906,08,15.832
1906,09,18.809
1906,10,22.473
1906,11,24.294
1906,12,26.526
1907,01,27.025
1907,02,27.003
1907,03,24.436
1907,04,21.288
1907,05,18.018
1907,06,14.974
1907,07,14.294
1907,08,16.158
1907,09,19.446
1907,10,22.974
1907,11,24.630
1907,12,26.330
1908,01,28.287
1908,02,26.779
1908,03,24.280
1908,04,21.699
1908,05,17.516
1908,06,12.875
1908,07,13.269
1908,08,14.958
1908,09,17.656
1908,10,21.339
1908,11,25.762
1908,12,27.340
1909,01,26.704
1909,02,26.523
1909,03,25.284
1909,04,20.594
1909,05,17.327
1909,06,15.093
1909,07,13.058
1909,08,15.828
1909,09,18.766
1909,10,22.905
1909,11,24.986
1909,12,25.827
1910,01,27.886
1910,02,27.521
1910,03,24.587
1910,04,22.232
1910,05,18.787
1910,06,15.246
1910,07,14.490
1910,08,16.650
1910,09,20.306
1910,10,21.138
1910,11,24.549
1910,12,26.058
1911,01,27.411
1911,02,26.467
1911,03,25.101
1911,04,21.404
1911,05,17.674
1911,06,13.760
1911,07,14.256
1911,08,15.952
1911,09,19.066
1911,10,22.560
1911,11,26.274
1911,12,26.982
1912,01,28.562
1912,02,28.490
1912,03,26.228
1912,04,21.642
1912,05,18.245
1912,06,14.709
1912,07,14.152
1912,08,16.276
1912,09,19.556
1912,10,22.756
1912,11,24.862
1912,12,27.423
1913,01,27.471
1913,02,26.996
1913,03,24.301
1913,04,22.255
1913,05,16.030
1913,06,13.590
1913,07,14.334
1913,08,15.736
1913,09,18.456
1913,10,22.753
1913,11,25.577
1913,12,27.616
1914,01,27.842
1914,02,28.219
1914,03,26.365
1914,04,22.790
1914,05,18.544
1914,06,15.111
1914,07,13.576
1914,08,17.041
1914,09,19.627
1914,10,23.369
1914,11,26.695
1914,12,27.916
1915,01,27.129
1915,02,28.588
1915,03,26.147
1915,04,22.553
1915,05,17.513
1915,06,16.154
1915,07,15.595
1915,08,15.910
1915,09,20.178
1915,10,22.491
1915,11,26.091
1915,12,27.129
1916,01,27.980
1916,02,27.747
1916,03,25.935
1916,04,20.895
1916,05,18.820
1916,06,15.773
1916,07,13.873
1916,08,16.268
1916,09,19.800
1916,10,21.572
1916,11,23.173
1916,12,25.843
1917,01,26.801
1917,02,24.862
1917,03,24.550
1917,04,20.743
1917,05,16.069
1917,06,13.895
1917,07,15.064
1917,08,15.383
1917,09,19.082
1917,10,21.901
1917,11,24.052
1917,12,26.648
1918,01,26.932
1918,02,26.113
1918,03,24.183
1918,04,21.547
1918,05,17.942
1918,06,15.553
1918,07,13.070
1918,08,15.946
1918,09,19.436
1918,10,22.596
1918,11,25.817
1918,12,27.510
1919,01,27.995
1919,02,27.217
1919,03,25.510
1919,04,22.885
1919,05,18.060
1919,06,15.760
1919,07,14.147
1919,08,15.799
1919,09,18.974
1919,10,22.377
1919,11,25.938
1919,12,27.892
1920,01,27.106
1920,02,27.285
1920,03,24.809
1920,04,21.073
1920,05,17.488
1920,06,15.377
1920,07,14.089
1920,08,15.758
1920,09,19.208
1920,10,22.563
1920,11,25.296
1920,12,26.169
1921,01,27.340
1921,02,27.331
1921,03,24.802
1921,04,21.602
1921,05,19.608
1921,06,16.239
1921,07,15.065
1921,08,14.940
1921,09,19.337
1921,10,21.723
1921,11,25.903
1921,12,26.865
1922,01,27.469
1922,02,27.687
1922,03,25.492
1922,04,23.191
1922,05,17.627
1922,06,14.779
1922,07,12.708
1922,08,15.036
1922,09,19.204
1922,10,22.776
1922,11,26.013
1922,12,26.518
1923,01,27.689
1923,02,28.758
1923,03,26.589
1923,04,22.830
1923,05,18.881
1923,06,14.658
1923,07,13.551
1923,08,14.740
1923,09,18.346
1923,10,21.824
1923,11,24.815
1923,12,27.112
1924,01,26.971
1924,02,26.527
1924,03,25.019
1924,04,20.250
1924,05,18.333
1924,06,14.599
1924,07,15.007
1924,08,15.940
1924,09,19.764
1924,10,21.960
1924,11,24.831
1924,12,26.119
1925,01,26.192
1925,02,26.894
1925,03,25.210
1925,04,21.836
1925,05,17.808
1925,06,14.804
1925,07,12.901
1925,08,14.859
1925,09,17.471
1925,10,21.949
1925,11,25.809
1925,12,27.950
1926,01,27.450
1926,02,28.933
1926,03,25.736
1926,04,22.502
1926,05,16.562
1926,06,14.463
1926,07,14.845
1926,08,16.060
1926,09,19.478
1926,10,23.036
1926,11,25.891
1926,12,26.231
1927,01,27.650
1927,02,26.540
1927,03,25.572
1927,04,20.972
1927,05,16.999
1927,06,15.300
1927,07,13.658
1927,08,15.749
1927,09,19.342
1927,10,22.876
1927,11,25.946
1927,12,26.475
1928,01,27.268
1928,02,27.235
1928,03,26.017
1928,04,23.243
1928,05,17.307
1928,06,14.211
1928,07,14.237
1928,08,17.385
1928,09,20.664
1928,10,22.896
1928,11,26.066
1928,12,27.563
1929,01,27.708
1929,02,28.173
1929,03,24.754
1929,04,20.649
1929,05,17.193
1929,06,14.129
1929,07,12.610
1929,08,15.903
1929,09,18.286
1929,10,22.400
1929,11,25.668
1929,12,26.196
1930,01,27.633
1930,02,27.714
1930,03,25.558
1930,04,21.600
1930,05,17.987
1930,06,15.191
1930,07,15.028
1930,08,15.953
1930,09,19.163
1930,10,22.379
1930,11,25.525
1930,12,26.333
1931,01,27.142
1931,02,27.253
1931,03,25.269
1931,04,21.169
1931,05,17.791
1931,06,15.108
1931,07,14.131
1931,08,15.733
1931,09,19.246
1931,10,21.231
1931,11,23.873
1931,12,26.967
1932,01,29.538
1932,02,27.081
1932,03,25.627
1932,04,21.235
1932,05,18.375
1932,06,14.268
1932,07,13.622
1932,08,15.541
1932,09,18.683
1932,10,21.889
1932,11,25.420
1932,12,26.806
1933,01,27.613
1933,02,27.649
1933,03,26.283
1933,04,21.787
1933,05,17.977
1933,06,15.231
1933,07,13.809
1933,08,14.859
1933,09,18.815
1933,10,22.487
1933,11,24.391
1933,12,25.985
1934,01,28.119
1934,02,27.610
1934,03,26.050
1934,04,21.417
1934,05,18.644
1934,06,14.748
1934,07,14.136
1934,08,15.529
1934,09,19.500
1934,10,21.842
1934,11,24.391
1934,12,26.723
1935,01,27.606
1935,02,27.472
1935,03,25.485
1935,04,20.980
1935,05,17.250
1935,06,13.971
1935,07,13.999
1935,08,16.250
1935,09,19.063
1935,10,22.524
1935,11,25.854
1935,12,27.074
1936,01,28.223
1936,02,27.668
1936,03,25.452
1936,04,21.068
1936,05,17.778
1936,06,13.958
1936,07,14.760
1936,08,17.457
1936,09,19.200
1936,10,22.886
1936,11,25.630
1936,12,27.034
1937,01,26.802
1937,02,27.405
1937,03,25.596
1937,04,20.953
1937,05,18.303
1937,06,14.218
1937,07,13.438
1937,08,15.890
1937,09,19.214
1937,10,23.337
1937,11,26.160
1937,12,27.403
1938,01,27.477
1938,02,26.614
1938,03,26.589
1938,04,22.661
1938,05,19.400
1938,06,15.110
1938,07,13.972
1938,08,15.556
1938,09,19.653
1938,10,23.463
1938,11,26.585
1938,12,28.360
1939,01,28.749
1939,02,27.263
1939,03,25.248
1939,04,21.929
1939,05,18.922
1939,06,14.825
1939,07,13.202
1939,08,14.822
1939,09,18.344
1939,10,21.576
1939,11,24.372
1939,12,26.728
1940,01,27.765
1940,02,26.704
1940,03,26.390
1940,04,21.096
1940,05,16.812
1940,06,15.299
1940,07,14.113
1940,08,16.303
1940,09,19.530
1940,10,23.703
1940,11,24.885
1940,12,27.704
1941,01,26.022
1941,02,27.042
1941,03,24.379
1941,04,22.336
1941,05,17.925
1941,06,14.675
1941,07,14.480
1941,08,15.380
1941,09,19.282
1941,10,21.758
1941,11,25.705
1941,12,27.311
1942,01,27.791
1942,02,26.285
1942,03,25.827
1942,04,22.052
1942,05,19.160
1942,06,15.800
1942,07,14.441
1942,08,16.957
1942,09,19.898
1942,10,22.178
1942,11,25.116
1942,12,26.528
1943,01,27.700
1943,02,26.882
1943,03,26.626
1943,04,21.763
1943,05,17.128
1943,06,13.881
1943,07,13.826
1943,08,15.004
1943,09,19.046
1943,10,22.618
1943,11,24.483
1943,12,26.957
1944,01,28.397
1944,02,26.531
1944,03,25.379
1944,04,20.882
1944,05,16.480
1944,06,14.529
1944,07,14.068
1944,08,16.149
1944,09,20.430
1944,10,22.609
1944,11,26.460
1944,12,26.665
1945,01,27.351
1945,02,26.842
1945,03,25.164
1945,04,22.004
1945,05,17.843
1945,06,16.242
1945,07,13.727
1945,08,17.191
1945,09,19.012
1945,10,21.465
1945,11,24.844
1945,12,27.100
1946,01,27.886
1946,02,26.221
1946,03,24.160
1946,04,20.187
1946,05,18.557
1946,06,13.566
1946,07,14.631
1946,08,16.135
1946,09,19.161
1946,10,21.757
1946,11,25.425
1946,12,27.128
1947,01,28.931
1947,02,27.666
1947,03,25.415
1947,04,21.017
1947,05,18.483
1947,06,15.779
1947,07,14.697
1947,08,15.973
1947,09,18.610
1947,10,21.464
1947,11,24.450
1947,12,26.172
1948,01,26.888
1948,02,27.766
1948,03,24.814
1948,04,21.172
1948,05,17.454
1948,06,14.602
1948,07,14.173
1948,08,16.315
1948,09,19.231
1948,10,22.749
1948,11,25.211
1948,12,27.059
1949,01,27.225
1949,02,25.815
1949,03,24.752
1949,04,20.612
1949,05,17.087
1949,06,13.259
1949,07,14.359
1949,08,16.213
1949,09,18.651
1949,10,22.348
1949,11,24.405
1949,12,27.136
1950,01,27.524
1950,02,26.621
1950,03,24.970
1950,04,21.504
1950,05,18.685
1950,06,14.169
1950,07,14.165
1950,08,15.715
1950,09,19.646
1950,10,21.437
1950,11,24.670
1950,12,26.600
1951,01,27.406
1951,02,27.379
1951,03,26.753
1951,04,21.082
1951,05,17.097
1951,06,15.466
1951,07,13.946
1951,08,14.648
1951,09,19.808
1951,10,22.213
1951,11,25.970
1951,12,27.215
1952,01,28.411
1952,02,27.372
1952,03,25.770
1952,04,21.469
1952,05,17.812
1952,06,14.934
1952,07,13.834
1952,08,15.476
1952,09,19.362
1952,10,22.054
1952,11,24.545
1952,12,26.787
1953,01,26.876
1953,02,25.776
1953,03,26.617
1953,04,23.115
1953,05,17.400
1953,06,15.196
1953,07,14.311
1953,08,14.696
1953,09,18.805
1953,10,22.595
1953,11,25.044
1953,12,27.413
1954,01,27.444
1954,02,26.365
1954,03,25.968
1954,04,22.052
1954,05,17.765
1954,06,14.327
1954,07,14.617
1954,08,16.191
1954,09,19.173
1954,10,22.490
1954,11,25.148
1954,12,27.011
1955,01,27.715
1955,02,27.870
1955,03,25.412
1955,04,21.692
1955,05,17.019
1955,06,15.396
1955,07,13.847
1955,08,16.842
1955,09,19.963
1955,10,22.373
1955,11,24.203
1955,12,26.247
1956,01,27.320
1956,02,27.780
1956,03,25.237
1956,04,21.615
1956,05,17.437
1956,06,13.933
1956,07,14.242
1956,08,14.510
1956,09,17.830
1956,10,21.347
1956,11,24.283
1956,12,26.515
1957,01,27.908
1957,02,27.061
1957,03,25.070
1957,04,22.916
1957,05,17.803
1957,06,17.137
1957,07,12.809
1957,08,15.894
1957,09,18.967
1957,10,23.280
1957,11,26.173
1957,12,27.600
1958,01,27.807
1958,02,27.902
1958,03,26.108
1958,04,23.139
1958,05,20.363
1958,06,15.382
1958,07,14.815
1958,08,16.392
1958,09,17.787
1958,10,22.131
1958,11,25.593
1958,12,26.633
1959,01,28.291
1959,02,27.571
1959,03,26.453
1959,04,22.588
1959,05,17.986
1959,06,15.607
1959,07,14.833
1959,08,16.645
1959,09,19.822
1959,10,22.658
1959,11,26.858
1959,12,26.268
1960,01,28.460
1960,02,27.021
1960,03,25.511
1960,04,21.746
1960,05,15.900
1960,06,14.123
1960,07,14.256
1960,08,14.658
1960,09,18.748
1960,10,22.937
1960,11,24.481
1960,12,26.847
1961,01,28.150
1961,02,27.365
1961,03,26.163
1961,04,22.855
1961,05,17.767
1961,06,15.096
1961,07,13.535
1961,08,15.137
1961,09,20.223
1961,10,23.780
1961,11,25.594
1961,12,27.510
1962,01,27.750
1962,02,27.408
1962,03,25.313
1962,04,21.855
1962,05,17.316
1962,06,16.732
1962,07,14.679
1962,08,15.604
1962,09,19.206
1962,10,22.346
1962,11,26.227
1962,12,26.935
1963,01,27.283
1963,02,27.497
1963,03,26.230
1963,04,21.395
1963,05,18.426
1963,06,14.819
1963,07,13.923
1963,08,15.918
1963,09,19.266
1963,10,22.840
1963,11,25.391
1963,12,27.432
1964,01,27.756
1964,02,26.847
1964,03,25.990
1964,04,22.364
1964,05,17.886
1964,06,15.523
1964,07,15.177
1964,08,16.270
1964,09,19.890
1964,10,21.243
1964,11,25.023
1964,12,25.935
1965,01,27.895
1965,02,28.862
1965,03,25.644
1965,04,21.545
1965,05,18.702
1965,06,15.553
1965,07,13.317
1965,08,16.374
1965,09,20.287
1965,10,23.476
1965,11,25.598
1965,12,27.511
1966,01,27.653
1966,02,27.260
1966,03,25.778
1966,04,22.443
1966,05,17.211
1966,06,15.406
1966,07,13.847
1966,08,15.067
1966,09,18.855
1966,10,21.224
1966,11,25.259
1966,12,26.114
1967,01,28.064
1967,02,26.705
1967,03,24.147
1967,04,22.669
1967,05,18.496
1967,06,15.082
1967,07,13.594
1967,08,15.132
1967,09,18.999
1967,10,24.255
1967,11,25.860
1967,12,26.753
1968,01,28.416
1968,02,27.806
1968,03,25.993
1968,04,22.761
1968,05,16.597
1968,06,15.532
1968,07,13.343
1968,08,14.789
1968,09,18.569
1968,10,22.423
1968,11,25.391
1968,12,26.319
1969,01,29.086
1969,02,27.611
1969,03,25.493
1969,04,21.810
1969,05,18.267
1969,06,14.645
1969,07,15.129
1969,08,16.708
1969,09,17.728
1969,10,23.532
1969,11,25.523
1969,12,26.751
1970,01,28.060
1970,02,28.363
1970,03,25.648
1970,04,21.949
1970,05,17.557
1970,06,16.060
1970,07,13.947
1970,08,15.500
1970,09,18.618
1970,10,23.209
1970,11,25.077
1970,12,27.148
1971,01,28.620
1971,02,27.840
1971,03,26.193
1971,04,21.613
1971,05,17.580
1971,06,14.064
1971,07,13.798
1971,08,16.394
1971,09,19.710
1971,10,23.045
1971,11,24.299
1971,12,26.694
1972,01,27.090
1972,02,27.162
1972,03,25.182
1972,04,21.640
1972,05,18.273
1972,06,15.681
1972,07,14.013
1972,08,16.783
1972,09,20.145
1972,10,23.065
1972,11,25.908
1972,12,28.935
1973,01,29.000
1973,02,27.584
1973,03,26.211
1973,04,23.124
1973,05,19.552
1973,06,15.964
1973,07,16.238
1973,08,16.888
1973,09,19.412
1973,10,22.928
1973,11,25.188
1973,12,26.988
1974,01,27.017
1974,02,26.309
1974,03,25.953
1974,04,21.530
1974,05,17.802
1974,06,14.364
1974,07,14.719
1974,08,16.237
1974,09,18.593
1974,10,21.803
1974,11,24.061
1974,12,26.659
1975,01,27.279
1975,02,27.116
1975,03,25.082
1975,04,21.791
1975,05,18.515
1975,06,14.931
1975,07,16.173
1975,08,16.030
1975,09,20.167
1975,10,21.147
1975,11,25.426
1975,12,26.733
1976,01,26.308
1976,02,26.768
1976,03,25.291
1976,04,21.468
1976,05,17.415
1976,06,14.506
1976,07,14.363
1976,08,15.468
1976,09,18.730
1976,10,21.353
1976,11,24.484
1976,12,27.887
1977,01,28.088
1977,02,28.237
1977,03,25.327
1977,04,21.790
1977,05,17.836
1977,06,14.552
1977,07,13.888
1977,08,16.982
1977,09,18.627
1977,10,23.473
1977,11,25.971
1977,12,27.776
1978,01,27.933
1978,02,28.027
1978,03,26.490
1978,04,22.077
1978,05,18.773
1978,06,14.887
1978,07,13.968
1978,08,15.604
1978,09,17.914
1978,10,21.991
1978,11,24.902
1978,12,26.512
1979,01,29.284
1979,02,27.480
1979,03,26.253
1979,04,22.316
1979,05,17.250
1979,06,16.037
1979,07,14.450
1979,08,16.284
1979,09,19.630
1979,10,22.807
1979,11,26.794
1979,12,28.466
1980,01,28.331
1980,02,27.654
1980,03,26.721
1980,04,22.892
1980,05,19.496
1980,06,15.662
1980,07,14.490
1980,08,16.981
1980,09,20.867
1980,10,23.082
1980,11,26.825
1980,12,27.907
1981,01,28.597
1981,02,27.484
1981,03,24.936
1981,04,23.718
1981,05,18.544
1981,06,15.004
1981,07,14.878
1981,08,16.738
1981,09,20.872
1981,10,22.708
1981,11,24.671
1981,12,27.678
1982,01,28.775
1982,02,27.733
1982,03,25.122
1982,04,22.106
1982,05,18.184
1982,06,13.824
1982,07,13.377
1982,08,17.596
1982,09,19.212
1982,10,22.129
1982,11,26.782
1982,12,28.134
1983,01,28.109
1983,02,29.693
1983,03,26.312
1983,04,20.983
1983,05,18.661
1983,06,15.405
1983,07,13.499
1983,08,17.000
1983,09,21.138
1983,10,23.361
1983,11,25.611
1983,12,27.351
1984,01,26.582
1984,02,27.367
1984,03,24.592
1984,04,22.007
1984,05,18.789
1984,06,15.246
1984,07,13.678
1984,08,16.209
1984,09,18.024
1984,10,22.746
1984,11,25.834
1984,12,27.267
1985,01,28.763
1985,02,28.403
1985,03,26.787
1985,04,22.146
1985,05,18.501
1985,06,14.384
1985,07,14.471
1985,08,16.916
1985,09,18.931
1985,10,22.338
1985,11,25.786
1985,12,27.126
1986,01,27.941
1986,02,28.193
1986,03,27.411
1986,04,22.728
1986,05,19.162
1986,06,15.629
1986,07,14.218
1986,08,15.441
1986,09,19.916
1986,10,21.886
1986,11,25.381
1986,12,27.135
1987,01,28.163
1987,02,27.109
1987,03,25.020
1987,04,23.173
1987,05,18.188
1987,06,16.081
1987,07,14.535
1987,08,16.046
1987,09,19.694
1987,10,23.497
1987,11,26.043
1987,12,27.406
1988,01,29.256
1988,02,27.389
1988,03,26.569
1988,04,22.778
1988,05,19.501
1988,06,16.226
1988,07,15.487
1988,08,16.812
1988,09,20.566
1988,10,24.931
1988,11,25.220
1988,12,26.925
1989,01,27.708
1989,02,28.158
1989,03,25.717
1989,04,22.512
1989,05,19.175
1989,06,14.394
1989,07,13.939
1989,08,14.868
1989,09,19.860
1989,10,23.232
1989,11,25.196
1989,12,27.601
1990,01,28.774
1990,02,27.033
1990,03,26.943
1990,04,22.285
1990,05,19.282
1990,06,14.810
1990,07,15.051
1990,08,15.870
1990,09,19.366
1990,10,23.284
1990,11,27.182
1990,12,28.412
1991,01,28.526
1991,02,28.323
1991,03,26.159
1991,04,22.596
1991,05,18.799
1991,06,17.066
1991,07,14.970
1991,08,16.447
1991,09,20.020
1991,10,24.305
1991,11,25.777
1991,12,27.062
1992,01,27.655
1992,02,27.912
1992,03,26.877
1992,04,23.011
1992,05,18.701
1992,06,15.550
1992,07,15.064
1992,08,16.298
1992,09,19.213
1992,10,22.105
1992,11,24.307
1992,12,26.652
1993,01,28.625
1993,02,27.251
1993,03,26.060
1993,04,23.512
1993,05,19.079
1993,06,15.204
1993,07,15.457
1993,08,16.814
1993,09,19.506
1993,10,22.167
1993,11,26.206
1993,12,26.564
1994,01,28.930
1994,02,27.452
1994,03,25.103
1994,04,22.064
1994,05,18.675
1994,06,15.268
1994,07,14.708
1994,08,15.786
1994,09,19.588
1994,10,23.381
1994,11,25.884
1994,12,28.163
1995,01,28.272
1995,02,27.092
1995,03,25.091
1995,04,21.466
1995,05,18.005
1995,06,15.605
1995,07,14.860
1995,08,17.211
1995,09,20.666
1995,10,22.764
1995,11,26.022
1995,12,26.827
1996,01,28.086
1996,02,27.800
1996,03,25.907
1996,04,21.959
1996,05,18.671
1996,06,17.459
1996,07,15.390
1996,08,16.863
1996,09,20.029
1996,10,23.381
1996,11,25.615
1996,12,27.315
1997,01,27.599
1997,02,28.392
1997,03,25.154
1997,04,22.367
1997,05,18.367
1997,06,15.249
1997,07,13.866
1997,08,16.082
1997,09,20.696
1997,10,23.341
1997,11,26.423
1997,12,28.201
1998,01,28.926
1998,02,28.837
1998,03,26.961
1998,04,22.692
1998,05,19.727
1998,06,15.883
1998,07,14.846
1998,08,17.670
1998,09,20.648
1998,10,23.512
1998,11,25.683
1998,12,27.289
1999,01,29.216
1999,02,27.453
1999,03,26.335
1999,04,21.236
1999,05,19.346
1999,06,15.689
1999,07,15.104
1999,08,17.019
1999,09,20.722
1999,10,23.401
1999,11,24.002
1999,12,26.203
2000,01,27.115
2000,02,27.467
2000,03,25.601
2000,04,22.057
2000,05,17.032
2000,06,14.446
2000,07,15.143
2000,08,16.131
2000,09,21.059
2000,10,22.453
2000,11,25.819
2000,12,27.137
2001,01,29.214
2001,02,27.766
2001,03,24.954
2001,04,22.252
2001,05,17.833
2001,06,16.001
2001,07,14.884
2001,08,16.198
2001,09,20.290
2001,10,21.576
2001,11,25.007
2001,12,26.498
2002,01,27.931
2002,02,26.677
2002,03,26.064
2002,04,23.967
2002,05,19.695
2002,06,15.595
2002,07,14.891
2002,08,16.382
2002,09,20.458
2002,10,23.704
2002,11,27.084
2002,12,28.160
2003,01,28.760
2003,02,28.422
2003,03,25.306
2003,04,22.989
