year,month,average_month_temperature
1900,01,25.254
1900,02,25.511
1900,03,26.045
1900,04,24.784
1900,05,24.607
1900,06,23.728
1900,07,23.928
1900,08,24.424
1900,09,25.457
1900,10,25.999
1900,11,25.633
1900,12,25.506
1901,01,25.468
1901,02,25.866
1901,03,25.589
1901,04,24.650
1901,05,24.081
1901,06,23.544
1901,07,24.003
1901,08,24.812
1901,09,25.762
1901,10,26.023
1901,11,25.506
1901,12,24.783
1902,01,25.295
1902,02,25.398
1902,03,24.995
1902,04,24.692
1902,05,24.642
1902,06,24.164
1902,07,23.769
1902,08,23.685
1902,09,25.546
1902,10,25.477
1902,11,25.863
1902,12,25.609
1903,01,25.412
1903,02,25.704
1903,03,25.572
1903,04,24.555
1903,05,23.690
1903,06,23.751
1903,07,23.399
1903,08,24.061
1903,09,24.913
1903,10,25.177
1903,11,25.242
1903,12,25.183
1904,01,24.748
1904,02,24.803
1904,03,24.772
1904,04,24.143
1904,05,23.143
1904,06,22.596
1904,07,22.836
1904,08,23.467
1904,09,24.457
1904,10,24.567
1904,11,25.122
1904,12,24.923
1905,01,24.964
1905,02,24.995
1905,03,24.888
1905,04,24.353
1905,05,24.762
1905,06,23.999
1905,07,23.505
1905,08,24.261
1905,09,25.183
1905,10,26.186
1905,11,25.882
1905,12,25.467
1906,01,25.072
1906,02,25.105
1906,03,24.956
1906,04,24.438
1906,05,24.340
1906,06,23.036
1906,07,23.289
1906,08,24.343
1906,09,24.860
1906,10,25.447
1906,11,25.668
1906,12,25.349
1907,01,24.965
1907,02,25.028
1907,03,25.256
1907,04,24.438
1907,05,23.535
1907,06,23.210
1907,07,22.309
1907,08,23.478
1907,09,25.331
1907,10,25.315
1907,11,25.450
1907,12,25.232
1908,01,25.367
1908,02,25.496
1908,03,25.131
1908,04,24.690
1908,05,23.925
1908,06,23.454
1908,07,23.668
1908,08,23.370
1908,09,25.467
1908,10,24.833
1908,11,25.050
1908,12,25.591
1909,01,25.328
1909,02,25.591
1909,03,25.184
1909,04,24.584
1909,05,23.064
1909,06,23.235
1909,07,23.008
1909,08,23.911
1909,09,25.225
1909,10,25.061
1909,11,25.529
1909,12,25.077
1910,01,25.171
1910,02,25.335
1910,03,24.915
1910,04,24.777
1910,05,23.334
1910,06,23.526
1910,07,23.152
1910,08,24.278
1910,09,25.203
1910,10,25.064
1910,11,25.009
1910,12,24.935
1911,01,24.822
1911,02,25.481
1911,03,24.621
1911,04,24.448
1911,05,23.728
1911,06,22.888
1911,07,22.638
1911,08,23.795
1911,09,25.037
1911,10,25.232
1911,11,25.756
1911,12,25.537
1912,01,25.515
1912,02,25.444
1912,03,25.069
1912,04,24.865
