year,month,average_month_temperature
1900,01,-10.503
1900,02,-6.145
1900,03,.841
1900,04,7.598
1900,05,13.662
1900,06,17.611
1900,07,19.915
1900,08,19.212
1900,09,14.803
1900,10,7.536
1900,11,-.064
1900,12,-6.746
1901,01,-8.333
1901,02,-7.122
1901,03,1.407
1901,04,8.308
1901,05,13.105
1901,06,17.471
1901,07,19.322
1901,08,18.686
1901,09,14.623
1901,10,7.196
1901,11,.024
1901,12,-7.485
1902,01,-7.256
1902,02,-4.975
1902,03,2.373
1902,04,7.110
1902,05,12.754
1902,06,17.377
1902,07,19.206
1902,08,17.839
1902,09,14.298
1902,10,7.784
1902,11,.356
1902,12,-6.413
1903,01,-8.763
1903,02,-5.737
1903,03,.812
1903,04,7.519
1903,05,13.057
1903,06,16.913
1903,07,19.538
1903,08,18.276
1903,09,13.974
1903,10,6.998
1903,11,-1.188
1903,12,-6.914
1904,01,-8.578
1904,02,-4.354
1904,03,.277
1904,04,6.893
1904,05,12.899
1904,06,18.094
1904,07,19.097
1904,08,18.533
1904,09,13.967
1904,10,6.746
1904,11,-.848
1904,12,-6.908
1905,01,-6.967
1905,02,-7.856
1905,03,-.949
1905,04,5.312
1905,05,12.641
1905,06,17.657
1905,07,19.826
1905,08,18.278
1905,09,13.751
1905,10,6.937
1905,11,-.869
1905,12,-6.498
1906,01,-9.038
1906,02,-6.462
1906,03,.609
1906,04,8.093
1906,05,13.132
1906,06,17.898
1906,07,19.661
1906,08,18.107
1906,09,14.218
1906,10,7.386
1906,11,-1.656
1906,12,-6.040
1907,01,-6.639
1907,02,-6.887
1907,03,-.212
1907,04,7.657
1907,05,13.543
1907,06,17.465
1907,07,18.787
1907,08,18.944
1907,09,14.154
1907,10,7.915
1907,11,-.988
1907,12,-6.533
1908,01,-8.285
1908,02,-6.525
1908,03,-.009
1908,04,7.693
1908,05,13.557
1908,06,17.796
1908,07,19.645
1908,08,19.186
1908,09,14.071
1908,10,7.463
1908,11,-1.194
1908,12,-5.908
1909,01,-9.137
1909,02,-5.289
1909,03,-.274
1909,04,8.089
1909,05,13.063
1909,06,16.722
1909,07,19.654
1909,08,19.127
1909,09,14.462
1909,10,7.341
1909,11,.658
1909,12,-6.555
1910,01,-8.560
1910,02,-5.843
1910,03,-.004
1910,04,7.235
1910,05,13.438
1910,06,17.155
1910,07,19.720
1910,08,18.731
1910,09,13.688
1910,10,7.847
1910,11,-.941
1910,12,-8.382
1911,01,-8.203
1911,02,-5.676
1911,03,.442
1911,04,8.041
1911,05,12.929
1911,06,17.240
1911,07,18.934
1911,08,18.489
1911,09,14.644
1911,10,7.247
1911,11,-.049
1911,12,-7.540
1912,01,-8.581
1912,02,-3.673
1912,03,.091
1912,04,7.793
1912,05,13.558
1912,06,17.926
1912,07,19.367
1912,08,18.427
1912,09,13.051
1912,10,6.436
1912,11,-1.796
1912,12,-8.042
1913,01,-8.602
1913,02,-4.942
1913,03,-.283
1913,04,7.107
1913,05,12.800
1913,06,17.117
1913,07,19.324
1913,08,18.608
1913,09,14.042
1913,10,7.771
1913,11,-.549
1913,12,-7.635
1914,01,-6.083
1914,02,-3.900
1914,03,1.529
1914,04,8.030
1914,05,13.432
1914,06,18.427
1914,07,20.104
1914,08,18.444
1914,09,14.251
1914,10,7.553
1914,11,-.667
1914,12,-6.806
1915,01,-8.676
1915,02,-6.225
1915,03,.583
1915,04,7.210
1915,05,13.345
1915,06,17.270
1915,07,19.522
1915,08,18.566
1915,09,13.820
1915,10,8.075
1915,11,.532
1915,12,-4.847
1916,01,-7.733
1916,02,-5.401
1916,03,.315
1916,04,7.681
1916,05,13.491
1916,06,17.678
1916,07,19.383
1916,08,19.073
1916,09,14.124
1916,10,7.486
1916,11,-.410
1916,12,-7.815
1917,01,-10.024
1917,02,-5.381
1917,03,.392
1917,04,7.102
1917,05,13.421
1917,06,17.927
1917,07,19.554
1917,08,19.066
1917,09,13.921
1917,10,7.565
1917,11,-.496
1917,12,-8.232
1918,01,-9.143
1918,02,-5.083
1918,03,1.770
1918,04,7.721
1918,05,13.463
1918,06,17.233
1918,07,19.285
1918,08,18.306
1918,09,14.132
1918,10,7.668
1918,11,-1.552
1918,12,-8.299
1919,01,-9.877
1919,02,-4.804
1919,03,1.766
1919,04,8.142
1919,05,14.218
1919,06,17.963
1919,07,20.098
1919,08,19.500
1919,09,13.769
1919,10,7.372
1919,11,-.419
1919,12,-6.771
1920,01,-7.166
1920,02,-7.660
1920,03,.880
1920,04,8.213
1920,05,13.624
1920,06,17.470
1920,07,20.585
