year,month,average_month_temperature
1900,01,13.072
1900,02,15.819
1900,03,19.439
1900,04,22.800
1900,05,27.868
1900,06,29.042
1900,07,30.248
1900,08,30.105
1900,09,26.844
1900,10,24.765
1900,11,19.536
1900,12,14.995
1901,01,12.795
1901,02,17.284
1901,03,20.807
1901,04,23.453
1901,05,25.969
1901,06,29.444
1901,07,30.475
1901,08,30.017
1901,09,28.086
1901,10,25.150
1901,11,19.421
1901,12,15.468
1902,01,12.752
1902,02,16.976
1902,03,18.708
1902,04,22.964
1902,05,27.246
1902,06,28.605
1902,07,29.539
1902,08,29.877
1902,09,28.530
1902,10,25.280
1902,11,18.911
1902,12,13.699
1903,01,12.803
1903,02,14.003
1903,03,17.410
1903,04,23.147
1903,05,27.322
1903,06,28.595
1903,07,29.050
1903,08,29.510
1903,09,26.855
1903,10,23.449
1903,11,18.259
1903,12,15.246
1904,01,13.527
1904,02,15.493
1904,03,18.311
1904,04,21.571
1904,05,25.220
1904,06,28.050
1904,07,29.432
1904,08,29.117
1904,09,27.430
1904,10,24.927
1904,11,18.460
1904,12,13.239
1905,01,12.212
1905,02,12.804
1905,03,17.113
1905,04,22.555
1905,05,26.885
1905,06,29.290
1905,07,29.993
1905,08,30.011
1905,09,28.423
1905,10,25.385
1905,11,20.760
1905,12,14.020
1906,01,13.306
1906,02,14.942
1906,03,18.734
1906,04,22.902
1906,05,26.489
1906,06,29.580
1906,07,29.888
1906,08,29.759
1906,09,27.304
1906,10,24.667
1906,11,20.120
1906,12,15.873
1907,01,13.356
1907,02,14.826
1907,03,16.603
1907,04,22.104
1907,05,25.833
1907,06,28.230
1907,07,29.637
1907,08,29.594
1907,09,26.952
1907,10,23.481
1907,11,18.315
1907,12,14.328
1908,01,13.330
1908,02,14.582
1908,03,18.432
1908,04,22.805
1908,05,26.350
1908,06,28.820
1908,07,29.211
1908,08,29.283
1908,09,27.261
1908,10,23.752
1908,11,17.898
1908,12,13.036
1909,01,13.057
1909,02,14.977
1909,03,19.891
1909,04,21.277
1909,05,28.106
1909,06,29.443
1909,07,30.146
1909,08,30.092
1909,09,28.289
1909,10,24.286
1909,11,20.281
1909,12,15.952
1910,01,12.813
1910,02,15.193
1910,03,16.058
1910,04,23.313
1910,05,26.459
1910,06,28.810
1910,07,29.871
1910,08,29.635
1910,09,27.732
1910,10,23.269
1910,11,18.597
1910,12,14.096
1911,01,13.396
1911,02,13.175
1911,03,17.574
1911,04,22.601
1911,05,26.836
1911,06,28.617
1911,07,29.692
1911,08,29.406
1911,09,27.311
1911,10,24.191
1911,11,19.506
1911,12,14.835
1912,01,12.619
1912,02,15.567
1912,03,18.206
1912,04,22.504
1912,05,25.124
1912,06,28.848
1912,07,29.269
1912,08,29.141
1912,09,27.474
1912,10,24.159
1912,11,18.951
1912,12,14.059
1913,01,13.042
1913,02,14.126
1913,03,16.858
1913,04,23.470
1913,05,24.985
1913,06,27.548
1913,07,29.531
1913,08,29.503
1913,09,28.057
1913,10,23.886
1913,11,18.192
1913,12,13.253
1914,01,13.640
1914,02,15.028
1914,03,19.483
1914,04,20.542
1914,05,26.314
1914,06,29.355
1914,07,29.374
1914,08,30.060
1914,09,27.504
1914,10,24.040
1914,11,20.022
1914,12,14.983
1915,01,14.808
1915,02,16.229
1915,03,19.374
1915,04,22.777
1915,05,26.097
1915,06,30.078
1915,07,30.256
1915,08,30.089
1915,09,27.413
1915,10,24.772
1915,11,20.196
1915,12,15.914
1916,01,12.511
1916,02,15.781
1916,03,20.728
1916,04,23.413
1916,05,27.214
1916,06,30.722
1916,07,30.939
1916,08,29.561
1916,09,27.354
1916,10,23.122
1916,11,20.588
1916,12,16.144
1917,01,14.444
1917,02,15.677
1917,03,19.453
1917,04,23.381
1917,05,24.727
1917,06,27.982
1917,07,29.308
1917,08,29.758
1917,09,26.648
1917,10,23.086
1917,11,20.871
1917,12,14.228
1918,01,12.693
1918,02,14.885
1918,03,18.874
1918,04,22.449
1918,05,26.108
1918,06,28.956
1918,07,30.532
1918,08,29.096
1918,09,27.950
1918,10,25.979
1918,11,20.805
1918,12,14.902
1919,01,14.732
1919,02,16.675
1919,03,20.519
1919,04,22.872
1919,05,24.959
1919,06,27.886
1919,07,30.243
1919,08,28.924
1919,09,27.776
1919,10,25.546
1919,11,20.064
1919,12,14.054
1920,01,13.239
1920,02,13.191
1920,03,17.771
1920,04,23.169
1920,05,25.555
1920,06,29.077
1920,07,29.704
1920,08,30.638
1920,09,26.980
1920,10,24.228
1920,11,18.753
1920,12,13.988
1921,01,13.438
1921,02,14.158
1921,03,16.978
1921,04,23.521
1921,05,26.379
1921,06,29.055
1921,07,30.508
1921,08,30.940
1921,09,27.005
1921,10,23.738
1921,11,19.097
1921,12,15.069
1922,01,13.510
1922,02,15.343
1922,03,18.752
1922,04,23.289
1922,05,25.847
1922,06,28.817
1922,07,30.083
1922,08,30.037
1922,09,28.140
1922,10,25.354
1922,11,20.799
1922,12,13.645
1923,01,14.222
1923,02,15.028
1923,03,18.208
1923,04,21.894
1923,05,26.434
1923,06,30.291
1923,07,29.405
1923,08,29.725
1923,09,27.684
1923,10,24.013
1923,11,20.387
1923,12,15.147
1924,01,12.878
1924,02,16.170
1924,03,19.221
1924,04,23.582
1924,05,25.563
1924,06,29.789
1924,07,30.572
1924,08,30.391
1924,09,28.394
1924,10,24.565
1924,11,18.793
1924,12,14.744
1925,01,11.525
1925,02,14.144
1925,03,20.107
1925,04,22.296
1925,05,26.671
1925,06,29.022
1925,07,30.075
1925,08,29.671
1925,09,28.101
1925,10,25.369
1925,11,20.961
1925,12,15.782
1926,01,13.521
1926,02,15.189
1926,03,18.053
1926,04,22.948
1926,05,28.246
1926,06,29.821
1926,07,29.416
1926,08,28.920
1926,09,26.522
1926,10,23.952
1926,11,20.087
1926,12,14.660
1927,01,13.812
1927,02,13.428
1927,03,18.633
1927,04,21.485
1927,05,27.330
1927,06,29.211
1927,07,30.901
1927,08,30.336
1927,09,28.107
1927,10,26.157
1927,11,20.734
1927,12,16.332
1928,01,15.377
1928,02,14.690
1928,03,18.743
1928,04,24.313
1928,05,28.586
1928,06,28.688
1928,07,29.689
1928,08,30.541
1928,09,28.808
1928,10,24.559
1928,11,19.870
1928,12,15.099
1929,01,12.787
1929,02,14.584
1929,03,17.593
1929,04,22.111
1929,05,29.068
1929,06,29.199
1929,07,29.426
1929,08,30.294
1929,09,28.934
1929,10,23.488
1929,11,20.389
1929,12,13.897
1930,01,13.023
1930,02,14.937
1930,03,18.398
1930,04,23.335
1930,05,26.683
1930,06,29.789
1930,07,30.438
1930,08,30.182
1930,09,28.093
1930,10,24.528
1930,11,19.071
1930,12,16.951
1931,01,14.390
1931,02,14.821
1931,03,19.534
1931,04,22.926
1931,05,26.110
1931,06,29.046
1931,07,30.757
1931,08,30.983
1931,09,29.002
1931,10,24.901
1931,11,19.012
1931,12,14.822
1932,01,13.172
1932,02,15.203
1932,03,18.798
1932,04,22.199
1932,05,24.923
1932,06,29.464
1932,07,30.499
1932,08,29.823
1932,09,27.765
1932,10,25.998
1932,11,19.788
1932,12,14.477
1933,01,13.796
1933,02,16.506
1933,03,19.003
1933,04,20.282
1933,05,26.099
1933,06,30.592
1933,07,29.283
1933,08,29.042
1933,09,26.382
1933,10,22.964
1933,11,22.311
1933,12,16.166
1934,01,13.594
1934,02,12.868
1934,03,19.212
1934,04,22.861
1934,05,27.609
1934,06,29.320
1934,07,29.652
1934,08,29.992
1934,09,27.663
1934,10,25.367
1934,11,20.914
1934,12,15.379
1935,01,14.129
1935,02,15.620
1935,03,19.473
1935,04,22.160
1935,05,27.954
1935,06,29.957
1935,07,29.256
1935,08,29.841
1935,09,27.593
1935,10,25.027
1935,11,18.211
1935,12,14.788
1936,01,14.477
1936,02,16.797
1936,03,20.105
1936,04,24.006
1936,05,27.125
1936,06,28.849
1936,07,30.213
1936,08,30.281
1936,09,26.593
1936,10,26.181
1936,11,21.310
1936,12,14.151
1937,01,12.234
1937,02,15.766
1937,03,19.567
1937,04,23.184
1937,05,26.747
1937,06,28.388
1937,07,30.053
1937,08,30.324
1937,09,29.586
1937,10,25.354
1937,11,20.633
1937,12,15.669
1938,01,13.970
1938,02,14.707
1938,03,16.557
1938,04,22.878
1938,05,26.515
1938,06,27.408
1938,07,30.075
1938,08,30.707
1938,09,28.248
1938,10,24.264
1938,11,18.848
1938,12,15.793
1939,01,13.858
1939,02,15.216
1939,03,18.543
1939,04,22.901
1939,05,28.857
1939,06,28.895
1939,07,29.906
1939,08,29.958
1939,09,29.198
1939,10,26.156
1939,11,19.783
1939,12,16.035
1940,01,13.912
1940,02,15.876
1940,03,18.278
1940,04,23.161
1940,05,27.268
1940,06,30.150
1940,07,30.331
1940,08,29.152
1940,09,27.928
1940,10,26.083
1940,11,19.545
1940,12,14.392
1941,01,14.506
1941,02,17.322
1941,03,19.113
1941,04,23.337
1941,05,29.551
1941,06,29.205
1941,07,30.638
1941,08,30.268
1941,09,27.266
1941,10,22.985
1941,11,20.234
1941,12,13.769
1942,01,13.094
1942,02,15.908
1942,03,19.296
1942,04,23.823
1942,05,27.552
1942,06,29.640
1942,07,29.511
1942,08,29.310
1942,09,26.679
1942,10,25.027
1942,11,20.004
1942,12,15.682
1943,01,13.332
1943,02,13.990
1943,03,16.776
1943,04,19.561
1943,05,26.077
1943,06,27.272
1943,07,29.986
1943,08,30.063
1943,09,27.960
1943,10,26.317
1943,11,22.212
1943,12,17.046
1944,01,12.931
1944,02,15.170
1944,03,19.194
1944,04,23.064
1944,05,25.470
1944,06,29.933
1944,07,29.883
1944,08,30.007
1944,09,27.826
1944,10,25.244
1944,11,19.040
1944,12,15.102
1945,01,13.267
1945,02,13.227
1945,03,16.057
1945,04,21.195
1945,05,27.349
1945,06,28.262
1945,07,30.267
1945,08,31.335
1945,09,28.121
1945,10,23.836
1945,11,19.690
1945,12,14.183
1946,01,14.745
1946,02,14.562
1946,03,18.098
1946,04,22.528
1946,05,26.695
1946,06,29.092
1946,07,29.930
1946,08,30.425
1946,09,29.351
1946,10,24.749
1946,11,21.303
1946,12,15.282
1947,01,13.361
1947,02,16.482
1947,03,20.126
1947,04,22.832
1947,05,27.770
1947,06,29.389
1947,07,30.494
1947,08,30.697
1947,09,27.938
1947,10,24.594
1947,11,19.358
1947,12,16.711
1948,01,14.658
1948,02,15.219
1948,03,15.935
1948,04,21.687
1948,05,26.864
1948,06,29.111
1948,07,29.485
1948,08,29.682
1948,09,27.213
1948,10,23.420
1948,11,18.940
1948,12,13.412
1949,01,12.537
1949,02,12.566
1949,03,17.472
1949,04,19.423
1949,05,28.358
1949,06,28.540
1949,07,29.159
1949,08,28.922
1949,09,26.212
1949,10,23.902
1949,11,20.565
1949,12,14.825
1950,01,12.923
1950,02,14.183
1950,03,18.027
1950,04,23.641
1950,05,25.929
1950,06,28.734
1950,07,30.107
1950,08,30.221
1950,09,28.191
1950,10,24.160
1950,11,19.403
1950,12,16.804
1951,01,13.830
1951,02,15.323
1951,03,20.050
1951,04,22.381
1951,05,28.246
1951,06,28.963
1951,07,30.071
1951,08,30.241
1951,09,29.322
1951,10,26.038
1951,11,18.788
1951,12,12.960
1952,01,14.077
1952,02,15.503
1952,03,18.147
1952,04,23.123
1952,05,27.133
1952,06,28.712
1952,07,29.813
1952,08,31.202
1952,09,29.785
1952,10,25.723
1952,11,19.254
1952,12,16.294
1953,01,13.288
1953,02,16.161
1953,03,16.831
1953,04,22.803
1953,05,27.936
1953,06,30.104
1953,07,31.093
1953,08,30.282
1953,09,27.258
1953,10,24.548
1953,11,17.985
1953,12,13.652
1954,01,12.354
1954,02,15.163
1954,03,19.315
1954,04,22.221
1954,05,27.913
1954,06,29.245
1954,07,30.335
1954,08,30.642
1954,09,27.003
1954,10,24.122
1954,11,19.605
1954,12,14.368
1955,01,14.682
1955,02,17.459
1955,03,19.664
1955,04,23.371
1955,05,26.981
1955,06,30.294
1955,07,30.689
1955,08,29.606
1955,09,28.778
1955,10,25.347
1955,11,19.745
1955,12,14.341
1956,01,14.181
1956,02,17.516
1956,03,18.463
1956,04,22.849
1956,05,25.657
1956,06,29.746
1956,07,30.694
1956,08,31.476
1956,09,27.808
1956,10,23.250
1956,11,19.965
1956,12,14.672
1957,01,12.601
1957,02,14.916
1957,03,17.964
1957,04,22.192
1957,05,27.176
1957,06,29.422
1957,07,29.932
1957,08,30.553
1957,09,29.454
1957,10,26.066
1957,11,21.187
1957,12,15.361
1958,01,13.991
1958,02,15.865
1958,03,19.720
1958,04,24.915
1958,05,26.333
1958,06,29.419
1958,07,30.358
1958,08,30.341
1958,09,27.660
1958,10,23.778
1958,11,20.815
1958,12,17.017
1959,01,13.433
1959,02,12.476
1959,03,17.871
1959,04,23.217
1959,05,27.834
1959,06,29.545
1959,07,29.749
1959,08,29.956
1959,09,27.233
1959,10,22.959
1959,11,19.443
1959,12,15.215
1960,01,14.019
1960,02,16.205
1960,03,19.317
1960,04,23.710
1960,05,27.149
1960,06,28.910
1960,07,29.993
1960,08,29.898
1960,09,28.331
1960,10,26.563
1960,11,20.506
1960,12,18.906
1961,01,14.501
1961,02,13.580
1961,03,16.983
1961,04,22.716
1961,05,26.627
1961,06,31.367
1961,07,29.575
1961,08,29.702
1961,09,25.927
1961,10,22.926
1961,11,18.665
1961,12,14.661
1962,01,14.127
1962,02,14.606
1962,03,21.524
1962,04,22.473
1962,05,26.278
1962,06,30.130
1962,07,30.237
1962,08,31.136
1962,09,28.259
1962,10,25.604
1962,11,22.881
1962,12,15.110
1963,01,15.491
1963,02,16.949
1963,03,18.456
1963,04,24.026
1963,05,26.935
1963,06,30.143
1963,07,30.675
1963,08,30.595
1963,09,28.859
1963,10,26.209
1963,11,19.896
1963,12,15.755
