year,month,average_month_temperature
1901,01,-3.964
1901,02,-4.201
1901,03,2.212
1901,04,7.866
1901,05,12.632
1901,06,15.481
1901,07,18.334
1901,08,16.449
1901,09,13.383
1901,10,8.969
1901,11,2.520
1901,12,.478
1902,01,2.320
1902,02,-1.309
1902,03,3.483
1902,04,7.601
1902,05,8.565
1902,06,15.093
1902,07,15.819
1902,08,14.783
1902,09,12.160
1902,10,6.884
1902,11,1.463
1902,12,-2.260
1903,01,-.198
1903,02,3.368
1903,03,5.822
1903,04,4.548
1903,05,12.475
1903,06,14.691
1903,07,16.243
1903,08,15.518
1903,09,13.550
1903,10,9.421
1903,11,4.202
1903,12,-1.186
1904,01,-1.731
1904,02,.958
1904,03,3.046
1904,04,8.609
1904,05,12.176
1904,06,15.114
1904,07,18.553
1904,08,16.523
1904,09,11.990
1904,10,8.072
1904,11,3.096
1904,12,1.879
1905,01,-2.219
1905,02,1.106
1905,03,4.561
1905,04,5.760
1905,05,11.882
1905,06,16.881
1905,07,18.624
1905,08,16.571
1905,09,12.804
1905,10,4.396
1905,11,2.991
1905,12,.583
1906,01,.564
1906,02,.235
1906,03,2.320
1906,04,7.805
1906,05,12.957
1906,06,14.628
1906,07,17.089
1906,08,16.623
1906,09,12.668
1906,10,9.717
1906,11,6.009
1906,12,-2.524
1907,01,-.835
1907,02,-1.683
1907,03,2.691
1907,04,5.946
1907,05,12.740
1907,06,14.574
1907,07,14.478
1907,08,15.754
1907,09,13.235
1907,10,11.072
1907,11,3.256
1907,12,1.046
1908,01,-2.645
1908,02,1.089
1908,03,2.452
1908,04,5.215
1908,05,13.099
1908,06,16.857
1908,07,17.159
1908,08,14.647
1908,09,12.198
1908,10,8.086
1908,11,1.389
1908,12,-.919
1909,01,-2.104
1909,02,-2.566
1909,03,1.591
1909,04,7.655
1909,05,10.658
1909,06,13.999
1909,07,15.017
1909,08,16.309
1909,09,12.773
1909,10,10.066
1909,11,1.801
1909,12,1.456
1910,01,.866
1910,02,2.284
1910,03,3.865
1910,04,7.113
1910,05,12.155
1910,06,16.440
1910,07,15.501
1910,08,15.943
1910,09,12.076
1910,10,8.968
1910,11,2.028
1910,12,2.237
1911,01,-1.493
1911,02,1.024
1911,03,4.046
1911,04,7.065
1911,05,13.020
1911,06,14.827
1911,07,19.001
1911,08,19.443
1911,09,14.479
1911,10,8.342
1911,11,4.565
1911,12,2.469
1912,01,-1.876
1912,02,2.046
1912,03,6.081
1912,04,6.649
