year,month,average_month_temperature
1900,01,17.445
1900,02,20.037
1900,03,24.949
1900,04,27.798
1900,05,30.008
1900,06,30.136
1900,07,27.717
1900,08,26.607
1900,09,25.780
1900,10,23.775
1900,11,21.167
1900,12,18.166
1901,01,16.241
1901,02,18.481
1901,03,23.692
1901,04,27.576
1901,05,30.009
1901,06,30.166
1901,07,27.645
1901,08,26.253
1901,09,26.503
1901,10,25.312
1901,11,20.923
1901,12,17.409
1902,01,17.734
1902,02,19.803
1902,03,25.156
1902,04,27.988
1902,05,30.484
1902,06,29.808
1902,07,27.339
1902,08,27.088
1902,09,25.980
1902,10,24.300
1902,11,20.253
1902,12,16.926
1903,01,17.009
1903,02,18.708
1903,03,23.066
1903,04,27.367
1903,05,29.755
1903,06,30.088
1903,07,27.711
1903,08,26.317
1903,09,26.204
1903,10,24.220
1903,11,19.709
1903,12,16.436
1904,01,16.761
1904,02,19.074
1904,03,23.359
1904,04,28.142
1904,05,29.713
1904,06,28.876
1904,07,26.562
1904,08,26.271
1904,09,26.111
1904,10,24.366
1904,11,19.959
1904,12,17.126
1905,01,15.885
1905,02,16.334
1905,03,22.074
1905,04,25.786
1905,05,30.324
1905,06,30.408
1905,07,27.354
1905,08,26.821
1905,09,26.375
1905,10,24.612
1905,11,21.174
1905,12,16.914
1906,01,16.430
1906,02,18.537
1906,03,22.546
1906,04,27.932
1906,05,31.179
1906,06,29.042
1906,07,27.117
1906,08,26.364
1906,09,25.973
1906,10,24.449
1906,11,21.077
1906,12,17.763
1907,01,17.728
1907,02,18.738
1907,03,22.435
1907,04,25.975
1907,05,29.230
1907,06,29.203
1907,07,27.832
1907,08,25.828
1907,09,26.393
1907,10,24.950
1907,11,21.275
1907,12,16.644
1908,01,16.484
1908,02,19.248
1908,03,23.286
1908,04,28.670
1908,05,30.214
1908,06,29.949
1908,07,26.505
1908,08,25.824
1908,09,25.950
1908,10,24.258
1908,11,19.927
1908,12,16.223
1909,01,17.046
1909,02,19.044
1909,03,24.294
1909,04,26.384
1909,05,29.810
1909,06,28.369
1909,07,26.219
1909,08,26.039
1909,09,25.662
1909,10,24.291
1909,11,21.035
1909,12,17.285
1910,01,16.691
1910,02,19.174
1910,03,23.682
1910,04,27.433
1910,05,30.118
1910,06,28.489
1910,07,26.606
1910,08,26.081
1910,09,25.895
1910,10,23.756
1910,11,19.461
1910,12,16.441
1911,01,17.705
1911,02,18.748
1911,03,22.423
1911,04,27.338
1911,05,30.663
1911,06,28.667
1911,07,27.865
1911,08,26.507
1911,09,26.080
1911,10,24.679
1911,11,20.312
1911,12,17.127
1912,01,17.311
1912,02,20.234
1912,03,23.542
1912,04,27.450
1912,05,30.417
1912,06,30.417
1912,07,27.087
1912,08,26.158
1912,09,25.897
1912,10,24.343
1912,11,19.920
1912,12,16.595
1913,01,16.578
1913,02,19.436
1913,03,22.382
1913,04,28.292
1913,05,29.388
1913,06,28.131
1913,07,26.800
1913,08,26.355
1913,09,26.445
1913,10,24.686
1913,11,20.183
1913,12,16.985
1914,01,17.452
1914,02,19.395
1914,03,23.152
1914,04,26.821
1914,05,30.057
1914,06,29.196
1914,07,26.750
1914,08,26.154
1914,09,26.118
1914,10,23.923
1914,11,21.052
1914,12,17.072
1915,01,17.038
1915,02,18.652
1915,03,23.318
1915,04,27.466
1915,05,30.813
1915,06,30.044
1915,07,27.801
1915,08,26.804
1915,09,26.693
1915,10,25.342
1915,11,21.482
1915,12,17.070
1916,01,17.047
1916,02,18.944
1916,03,24.876
1916,04,28.207
1916,05,30.287
1916,06,28.046
1916,07,27.012
1916,08,26.161
1916,09,26.065
1916,10,24.216
1916,11,19.993
1916,12,16.305
1917,01,16.784
1917,02,19.010
1917,03,22.845
1917,04,26.177
1917,05,27.456
1917,06,27.975
1917,07,26.623
1917,08,26.173
1917,09,25.451
1917,10,23.642
1917,11,19.420
1917,12,16.741
1918,01,15.808
1918,02,19.192
1918,03,23.414
1918,04,26.486
1918,05,29.933
1918,06,28.105
1918,07,27.954
1918,08,26.580
1918,09,26.387
1918,10,24.702
1918,11,20.981
1918,12,16.827
1919,01,17.458
1919,02,19.082
1919,03,23.990
1919,04,27.265
1919,05,29.800
1919,06,29.136
1919,07,26.848
1919,08,26.268
1919,09,25.937
1919,10,24.106
1919,11,20.825
1919,12,16.850
1920,01,17.183
1920,02,18.992
1920,03,23.764
1920,04,27.216
1920,05,28.645
1920,06,29.110
1920,07,26.818
1920,08,26.321
1920,09,26.729
1920,10,25.218
1920,11,21.230
1920,12,17.299
1921,01,17.431
1921,02,19.229
1921,03,25.113
1921,04,28.655
1921,05,31.454
1921,06,29.246
1921,07,27.483
1921,08,26.067
1921,09,25.677
1921,10,23.688
1921,11,19.818
1921,12,17.686
1922,01,16.712
1922,02,19.851
1922,03,24.322
1922,04,28.194
1922,05,30.417
1922,06,28.764
1922,07,26.795
1922,08,26.201
1922,09,25.780
1922,10,23.839
1922,11,20.359
1922,12,16.489
1923,01,16.781
1923,02,18.617
1923,03,23.698
1923,04,27.937
1923,05,29.912
1923,06,30.789
1923,07,26.878
1923,08,26.004
1923,09,26.032
1923,10,23.805
1923,11,20.392
1923,12,17.495
1924,01,16.857
1924,02,19.626
1924,03,24.958
1924,04,28.526
1924,05,29.527
1924,06,30.324
1924,07,27.185
1924,08,26.452
1924,09,25.611
1924,10,24.021
1924,11,19.939
1924,12,17.200
1925,01,15.680
1925,02,18.105
1925,03,23.884
1925,04,28.483
1925,05,29.357
1925,06,28.226
1925,07,26.263
1925,08,26.408
1925,09,26.472
1925,10,24.726
1925,11,20.475
1925,12,16.871
1926,01,17.302
1926,02,20.337
1926,03,23.235
1926,04,25.866
1926,05,29.211
1926,06,30.892
1926,07,27.511
1926,08,26.327
1926,09,25.892
1926,10,24.170
1926,11,19.396
1926,12,16.986
1927,01,16.763
1927,02,18.708
1927,03,22.965
1927,04,27.480
1927,05,29.668
1927,06,29.321
1927,07,26.730
1927,08,26.062
1927,09,26.137
1927,10,24.391
1927,11,19.705
1927,12,17.630
1928,01,17.011
1928,02,19.488
1928,03,23.914
1928,04,27.610
1928,05,30.677
1928,06,28.957
1928,07,26.849
1928,08,26.644
1928,09,26.303
1928,10,24.608
1928,11,20.816
1928,12,17.062
1929,01,16.814
1929,02,18.548
1929,03,24.639
1929,04,27.691
1929,05,30.683
1929,06,29.001
1929,07,26.760
1929,08,26.020
1929,09,26.438
1929,10,24.018
1929,11,20.677
1929,12,16.709
1930,01,16.519
1930,02,18.703
1930,03,23.966
1930,04,27.121
1930,05,29.890
1930,06,29.040
1930,07,26.596
1930,08,26.208
1930,09,26.343
1930,10,24.608
1930,11,20.010
