year,month,average_month_temperature
1900,01,11.328
1900,02,12.935
1900,03,15.496
1900,04,19.115
1900,05,22.584
1900,06,25.156
1900,07,27.019
1900,08,27.060
1900,09,24.388
1900,10,22.992
1900,11,17.386
1900,12,13.325
1901,01,9.759
1901,02,15.746
1901,03,17.729
1901,04,19.440
1901,05,21.004
1901,06,25.732
1901,07,27.370
1901,08,27.407
1901,09,25.512
1901,10,22.607
1901,11,17.788
1901,12,14.069
1902,01,10.321
1902,02,14.891
1902,03,14.981
1902,04,18.742
1902,05,23.153
1902,06,25.000
1902,07,27.143
1902,08,27.491
1902,09,26.634
1902,10,23.064
1902,11,16.850
1902,12,11.914
1903,01,9.966
1903,02,11.444
1903,03,14.018
1903,04,19.001
1903,05,23.143
1903,06,24.470
1903,07,25.869
1903,08,26.765
1903,09,24.577
1903,10,21.174
1903,11,16.219
1903,12,13.222
1904,01,10.764
1904,02,13.083
1904,03,14.711
1904,04,17.846
1904,05,21.167
1904,06,24.599
1904,07,26.089
1904,08,26.792
1904,09,24.414
1904,10,23.036
1904,11,16.555
1904,12,10.664
1905,01,9.027
1905,02,10.022
1905,03,13.511
1905,04,18.546
1905,05,22.349
1905,06,24.232
1905,07,27.011
1905,08,27.357
1905,09,25.596
1905,10,22.698
1905,11,18.527
1905,12,10.730
1906,01,10.236
1906,02,12.292
1906,03,14.699
1906,04,17.943
1906,05,20.839
1906,06,25.258
1906,07,26.664
1906,08,27.227
1906,09,24.792
1906,10,22.387
1906,11,17.700
1906,12,14.024
1907,01,10.283
1907,02,11.749
1907,03,12.867
1907,04,17.622
1907,05,22.004
1907,06,24.424
1907,07,26.673
1907,08,26.641
1907,09,24.067
1907,10,21.452
1907,11,15.274
1907,12,12.317
1908,01,10.417
1908,02,11.723
1908,03,14.673
1908,04,17.656
1908,05,22.530
1908,06,25.053
1908,07,25.686
1908,08,26.428
1908,09,24.622
1908,10,21.685
1908,11,15.740
1908,12,10.714
1909,01,10.637
1909,02,12.131
1909,03,16.317
1909,04,16.705
1909,05,25.066
1909,06,25.182
1909,07,27.338
1909,08,27.359
1909,09,25.343
1909,10,21.797
1909,11,17.793
1909,12,14.260
1910,01,10.437
1910,02,13.251
1910,03,12.113
1910,04,18.638
1910,05,21.489
1910,06,24.526
1910,07,26.418
1910,08,27.407
1910,09,25.144
1910,10,20.617
1910,11,16.860
1910,12,11.314
1911,01,8.710
1911,02,8.935
1911,03,12.900
1911,04,17.500
1911,05,21.535
1911,06,24.601
1911,07,26.560
1911,08,26.781
1911,09,24.600
1911,10,22.479
1911,11,17.596
1911,12,12.833
1912,01,10.032
1912,02,13.462
1912,03,14.876
1912,04,18.829
1912,05,20.670
1912,06,25.020
1912,07,25.797
1912,08,26.869
1912,09,24.951
1912,10,22.230
1912,11,17.155
1912,12,11.716
1913,01,10.220
1913,02,10.832
1913,03,13.997
1913,04,17.773
1913,05,20.936
1913,06,23.893
1913,07,25.377
1913,08,26.143
1913,09,25.617
1913,10,22.392
1913,11,16.403
1913,12,10.923
1914,01,11.360
1914,02,11.899
1914,03,15.501
1914,04,16.077
1914,05,21.563
1914,06,24.302
1914,07,25.527
