year,month,average_month_temperature
1901,01,3.655
1901,02,2.604
1901,03,4.047
1901,04,7.469
1901,05,10.397
1901,06,12.128
1901,07,15.624
1901,08,13.986
1901,09,12.611
1901,10,8.585
1901,11,5.228
1901,12,3.333
1902,01,4.361
1902,02,1.963
1902,03,6.099
1902,04,6.760
1902,05,7.674
1902,06,11.787
1902,07,12.556
1902,08,12.344
1902,09,11.550
1902,10,8.551
1902,11,6.610
1902,12,4.377
1903,01,3.803
1903,02,6.373
1903,03,6.215
1903,04,5.533
1903,05,9.626
1903,06,11.437
1903,07,13.215
1903,08,12.539
1903,09,11.705
1903,10,9.127
1903,11,5.999
1903,12,3.190
1904,01,4.095
1904,02,3.323
1904,03,4.223
1904,04,7.605
1904,05,9.410
1904,06,12.028
1904,07,14.468
1904,08,13.323
1904,09,11.422
1904,10,8.826
1904,11,5.426
1904,12,3.922
1905,01,4.037
1905,02,4.679
1905,03,6.238
1905,04,6.156
1905,05,9.584
1905,06,13.051
1905,07,14.961
1905,08,13.063
1905,09,11.255
1905,10,6.602
1905,11,4.888
1905,12,5.120
1906,01,5.008
1906,02,3.126
1906,03,4.636
1906,04,6.395
1906,05,8.958
1906,06,12.539
1906,07,13.679
1906,08,14.695
1906,09,12.522
1906,10,9.603
1906,11,7.063
1906,12,3.118
1907,01,3.797
1907,02,3.161
1907,03,6.128
1907,04,6.678
1907,05,9.147
1907,06,10.894
1907,07,12.463
1907,08,12.359
1907,09,12.190
1907,10,8.886
1907,11,6.147
1907,12,4.342
1908,01,3.051
1908,02,5.197
1908,03,4.237
1908,04,5.457
1908,05,10.898
1908,06,12.562
1908,07,13.772
1908,08,12.926
1908,09,11.852
1908,10,10.988
1908,11,7.008
1908,12,4.189
1909,01,3.766
1909,02,3.554
1909,03,3.460
1909,04,7.661
1909,05,9.623
1909,06,10.827
1909,07,12.938
1909,08,13.785
1909,09,10.873
1909,10,9.224
1909,11,4.759
1909,12,3.478
1910,01,3.403
1910,02,4.700
1910,03,5.955
1910,04,6.301
1910,05,9.828
1910,06,12.747
1910,07,12.623
1910,08,13.592
1910,09,11.512
1910,10,9.747
1910,11,3.646
1910,12,5.939
1911,01,4.072
1911,02,4.692
1911,03,4.900
1911,04,6.752
1911,05,11.452
1911,06,12.723
1911,07,15.618
1911,08,15.788
1911,09,12.425
1911,10,8.414
1911,11,5.601
1911,12,5.676
1912,01,3.703
1912,02,5.009
1912,03,6.648
1912,04,7.957
1912,05,10.311
1912,06,12.095
1912,07,13.834
1912,08,11.374
1912,09,10.157
1912,10,7.756
1912,11,5.829
1912,12,5.887
1913,01,4.172
1913,02,4.833
1913,03,5.530
1913,04,6.969
1913,05,10.010
1913,06,12.262
1913,07,12.892
1913,08,13.471
1913,09,12.549
1913,10,9.910
1913,11,7.642
1913,12,4.679
1914,01,3.715
1914,02,6.369
1914,03,5.644
1914,04,8.748
1914,05,9.583
1914,06,12.708
1914,07,14.032
1914,08,14.349
1914,09,12.026
1914,10,9.413
1914,11,6.229
1914,12,4.176
1915,01,3.844
1915,02,4.032
1915,03,5.049
1915,04,6.912
1915,05,9.291
1915,06,12.399
1915,07,12.984
1915,08,13.518
1915,09,12.046
1915,10,8.338
1915,11,3.473
1915,12,4.555
1916,01,6.805
1916,02,3.777
1916,03,3.310
1916,04,7.218
1916,05,9.939
1916,06,10.382
1916,07,13.397
1916,08,14.375
1916,09,11.757
1916,10,9.361
1916,11,6.552
1916,12,2.823
1917,01,2.050
1917,02,2.130
1917,03,3.309
1917,04,4.771
1917,05,10.855
1917,06,13.047
1917,07,14.207
1917,08,13.929
1917,09,12.557
1917,10,6.920
1917,11,7.521
1917,12,2.687
1918,01,3.527
1918,02,6.159
1918,03,5.607
1918,04,6.186
1918,05,11.226
1918,06,11.711
1918,07,13.589
1918,08,14.027
1918,09,10.372
1918,10,8.580
1918,11,5.475
1918,12,6.114
1919,01,3.269
1919,02,2.288
1919,03,3.441
1919,04,6.444
1919,05,11.460
1919,06,12.340
1919,07,12.577
1919,08,13.870
1919,09,11.568
1919,10,7.337
1919,11,3.045
1919,12,4.733
1920,01,4.650
1920,02,5.788
1920,03,6.447
1920,04,7.086
1920,05,10.323
1920,06,12.544
1920,07,12.572
1920,08,12.277
1920,09,11.699
1920,10,9.498
1920,11,6.890
1920,12,4.126
1921,01,6.366
1921,02,5.084
1921,03,6.592
1921,04,7.488
1921,05,10.004
1921,06,12.756
1921,07,15.620
1921,08,13.261
1921,09,12.627
1921,10,11.565
1921,11,4.831
1921,12,6.217
1922,01,3.626
1922,02,4.452
1922,03,4.699
1922,04,5.003
1922,05,10.916
1922,06,11.866
1922,07,12.110
1922,08,12.101
1922,09,10.939
1922,10,7.753
1922,11,6.036
1922,12,5.426
1923,01,5.643
1923,02,5.273
1923,03,6.196
1923,04,6.489
1923,05,8.140
1923,06,10.991
1923,07,14.969
1923,08,13.191
1923,09,11.048
1923,10,8.639
1923,11,3.533
1923,12,3.594
1924,01,4.555
1924,02,3.622
1924,03,3.937
1924,04,6.098
1924,05,9.727
1924,06,12.163
1924,07,13.350
1924,08,12.754
1924,09,11.782
1924,10,9.213
1924,11,6.845
1924,12,6.515
1925,01,5.161
1925,02,4.687
1925,03,4.833
1925,04,6.544
1925,05,10.065
1925,06,13.016
1925,07,14.759
1925,08,13.763
1925,09,10.313
1925,10,9.370
1925,11,3.976
1925,12,2.851
1926,01,4.659
1926,02,6.257
1926,03,6.009
1926,04,8.202
1926,05,8.966
1926,06,11.971
1926,07,14.833
1926,08,14.380
1926,09,12.773
1926,10,7.081
1926,11,5.748
1926,12,4.443
1927,01,4.514
1927,02,4.596
1927,03,6.765
1927,04,6.882
1927,05,9.468
1927,06,10.730
1927,07,14.002
1927,08,13.876
1927,09,11.018
1927,10,9.303
1927,11,5.663
1927,12,2.112
1928,01,4.823
1928,02,5.479
1928,03,5.481
1928,04,7.266
1928,05,9.393
1928,06,10.987
1928,07,13.906
1928,08,13.595
1928,09,11.516
1928,10,9.176
1928,11,7.096
1928,12,3.675
1929,01,2.061
1929,02,1.284
1929,03,6.272
1929,04,5.870
1929,05,9.991
1929,06,11.653
1929,07,14.083
1929,08,13.404
1929,09,13.647
1929,10,8.570
1929,11,6.397
1929,12,5.233
1930,01,5.007
1930,02,2.768
1930,03,4.823
1930,04,7.231
1930,05,9.536
1930,06,13.235
1930,07,13.464
1930,08,13.822
1930,09,12.253
1930,10,9.185
1930,11,5.841
1930,12,4.430
1931,01,3.531
1931,02,3.791
1931,03,3.886
1931,04,6.785
1931,05,9.980
1931,06,12.300
1931,07,13.632
1931,08,12.813
1931,09,10.657
1931,10,8.334
1931,11,7.246
1931,12,5.397
1932,01,6.055
1932,02,4.051
1932,03,4.869
1932,04,5.977
1932,05,9.255
1932,06,12.443
1932,07,14.104
1932,08,14.949
1932,09,11.789
1932,10,7.998
1932,11,6.288
1932,12,5.463
1933,01,2.886
1933,02,4.128
1933,03,6.926
1933,04,8.053
1933,05,10.567
1933,06,13.654
1933,07,15.799
1933,08,15.517
1933,09,13.479
1933,10,9.331
1933,11,5.611
1933,12,2.578
1934,01,4.751
1934,02,4.673
1934,03,4.803
1934,04,6.918
1934,05,9.940
1934,06,13.035
1934,07,15.825
1934,08,13.767
1934,09,12.945
1934,10,9.344
1934,11,5.986
1934,12,7.218
1935,01,4.662
1935,02,5.312
1935,03,6.351
1935,04,6.969
1935,05,9.015
1935,06,12.993
1935,07,14.788
1935,08,14.705
1935,09,11.998
1935,10,8.479
1935,11,6.226
1935,12,2.948
1936,01,3.538
1936,02,2.986
1936,03,6.379
1936,04,5.894
1936,05,9.941
1936,06,12.904
1936,07,13.878
1936,08,14.421
1936,09,12.944
1936,10,8.734
1936,11,5.682
1936,12,5.090
1937,01,4.972
1937,02,4.818
1937,03,3.373
1937,04,8.016
1937,05,10.726
1937,06,12.589
1937,07,14.125
1937,08,14.665
1937,09,12.172
1937,10,9.334
1937,11,5.638
1937,12,3.013
1938,01,5.274
1938,02,4.953
1938,03,8.465
1938,04,7.211
1938,05,9.515
1938,06,12.566
1938,07,13.407
1938,08,14.043
1938,09,12.454
1938,10,9.417
1938,11,8.136
1938,12,4.147
1939,01,3.867
1939,02,5.602
1939,03,5.691
1939,04,7.570
1939,05,10.118
1939,06,12.697
1939,07,13.625
1939,08,14.488
1939,09,12.856
1939,10,7.742
1939,11,7.635
1939,12,3.499
1940,01,.082
1940,02,2.933
1940,03,5.624
1940,04,7.359
