year,month,average_month_temperature
1901,01,-3.439
1901,02,-3.840
1901,03,2.076
1901,04,6.910
1901,05,13.694
1901,06,18.366
1901,07,22.374
1901,08,20.614
1901,09,15.363
1901,10,10.238
1901,11,2.514
1901,12,-2.917
1902,01,-3.886
1902,02,-2.363
1902,03,1.891
1902,04,7.761
1902,05,14.588
1902,06,18.611
1902,07,20.636
1902,08,19.950
1902,09,15.160
1902,10,10.014
1902,11,3.182
1902,12,-4.120
1903,01,-4.254
1903,02,-4.084
1903,03,3.044
1903,04,7.209
1903,05,13.190
1903,06,17.382
1903,07,20.500
1903,08,19.791
1903,09,15.075
1903,10,9.059
1903,11,1.554
1903,12,-2.894
1904,01,-5.480
1904,02,-3.202
1904,03,2.631
1904,04,7.414
1904,05,13.796
1904,06,17.935
1904,07,20.202
1904,08,19.463
1904,09,15.969
1904,10,9.660
1904,11,2.799
1904,12,-2.689
1905,01,-4.803
1905,02,-4.463
1905,03,4.699
1905,04,8.100
1905,05,13.264
1905,06,18.302
1905,07,20.370
1905,08,20.446
1905,09,16.226
1905,10,8.431
1905,11,3.528
1905,12,-3.379
1906,01,-3.870
1906,02,-1.636
1906,03,.690
1906,04,8.727
1906,05,13.519
1906,06,18.182
1906,07,20.493
1906,08,20.203
1906,09,16.816
1906,10,9.189
1906,11,2.019
1906,12,-1.767
1907,01,-3.012
1907,02,-2.103
1907,03,4.111
1907,04,6.431
1907,05,11.950
1907,06,17.229
1907,07,20.608
1907,08,19.719
1907,09,15.736
1907,10,9.174
1907,11,2.070
1907,12,-1.281
1908,01,-2.675
1908,02,-1.607
1908,03,3.419
1908,04,8.512
1908,05,13.156
1908,06,17.873
1908,07,20.932
1908,08,19.565
1908,09,15.998
1908,10,8.204
1908,11,3.097
1908,12,-1.487
1909,01,-3.626
1909,02,-1.837
1909,03,1.718
1909,04,6.811
1909,05,12.712
1909,06,18.613
1909,07,20.849
1909,08,20.708
1909,09,15.623
1909,10,8.863
1909,11,3.832
1909,12,-5.676
1910,01,-4.265
1910,02,-4.296
1910,03,5.952
1910,04,8.631
1910,05,13.189
1910,06,18.218
1910,07,21.326
1910,08,19.814
1910,09,16.631
1910,10,10.202
1910,11,2.573
1910,12,-3.036
